Frequency,Density
0,164.6
1,164.6
2,164.6
3,164.6
4,164.6
5,164.6
6,164.6
7,164.6
8,164.6
9,164.6
10,164.6
11,164.6
12,164.6
13,164.6
14,164.6
15,164.6
16,164.6
17,164.6
18,164.6
19,164.6
20,164.6
21,164.6
22,164.6
23,164.6
24,164.6
25,164.6
26,164.6
27,164.6
28,164.6
29,164.6
30,164.6
31,164.6
32,164.6
33,164.6
34,164.6
35,164.6
36,164.6
37,164.6
38,164.6
39,164.6
40,164.6
41,164.6
42,164.6
43,164.6
44,164.6
45,164.6
46,164.6
47,164.6
48,164.6
49,164.6
50,164.6
51,164.6
52,164.6
53,164.6
54,164.6
55,164.6
56,164.6
57,164.6
58,164.6
59,164.6
60,164.6
61,164.6
62,164.6
63,164.6
64,164.6
65,164.6
66,164.6
67,164.6
68,164.6
69,164.6
70,164.6
71,164.6
72,164.6
73,164.6
74,164.6
75,164.6
76,164.6
77,164.6
78,164.6
79,164.6
80,164.6
81,164.6
82,164.6
83,164.6
84,164.6
85,164.6
86,164.6
87,164.6
88,164.6
89,164.6
90,164.6
91,164.6
92,164.6
93,164.6
94,164.6
95,164.6
96,164.6
97,164.6
98,164.6
99,164.6
100,164.6
101,164.6
102,164.6
103,164.6
104,164.6
105,164.6
106,164.6
107,164.6
108,164.6
109,164.6
110,164.6
111,164.6
112,164.6
113,164.6
114,164.6
115,164.6
116,164.6
117,164.6
118,164.6
119,164.6
120,164.6
121,164.6
122,164.6
123,164.6
124,164.6
125,164.6
126,164.6
127,164.6
128,164.6
129,164.6
130,164.6
131,164.6
132,164.6
133,164.6
134,164.6
135,164.6
136,164.6
137,164.6
138,164.6
139,164.6
140,164.6
141,164.6
142,164.6
143,164.6
144,164.6
145,164.6
146,164.6
147,164.6
148,164.6
149,164.6
150,164.6
151,164.6
152,164.6
153,164.6
154,164.6
155,164.6
156,164.6
157,164.6
158,164.6
159,164.6
160,164.6
161,164.6
162,164.6
163,164.6
164,164.6
165,164.6
166,164.6
167,164.6
168,164.6
169,164.6
170,164.6
171,164.6
172,164.6
173,164.6
174,164.6
175,164.6
176,164.6
177,164.6
178,164.6
179,164.6
180,164.6
181,164.6
182,164.6
183,164.6
184,164.6
185,164.6
186,164.6
187,164.6
188,164.6
189,164.6
190,164.6
191,164.6
192,164.6
193,164.6
194,164.6
195,164.6
196,164.6
197,164.6
198,164.6
199,179.9790405
200,233.7964295
201,287.6138184
202,303.817865
203,304.1277832
204,304.4471619
205,304.8347961
206,305.2224243
207,304.9796509
208,304.2039368
209,303.4282104
210,303.3999939
211,303.4
212,304.6018677
213,307.7083862
214,310.8148987
215,306.7326294
216,300.982196
217,296.8960144
218,298.1400818
219,299.3841492
220,300.8876709
221,302.5214722
222,304.0739807
223,304.8524353
224,305.6309021
225,304.4025757
226,301.364801
227,298.3270386
228,302.1579407
229,306.2886169
230,305.9569214
231,298.7044861
232,291.4520508
233,290.2645569
234,290.3425781
235,291.7821045
236,297.0131226
237,302.2441345
238,297.652832
239,288.9032898
240,281.1773254
241,279.6139893
242,278.0506531
243,277.628302
244,278.0193665
245,278.3478149
246,276.391333
247,274.4348694
248,274.3221374
249,276.2797607
250,278.237384
251,276.8913025
252,275.245935
253,271.658075
254,264.6807373
255,257.7034088
256,259.7170502
257,263.7960968
258,266.6965607
259,266.3041138
260,265.9116638
261,265.3504883
262,264.7222046
263,264.7572357
264,268.0576599
265,271.3580933
266,269.2651855
267,263.9184906
268,259.2646393
269,262.5689484
270,265.8732727
271,266.0025055
272,263.4047241
273,260.8069488
274,260.4857788
275,260.1707092
276,259.6388885
277,258.8507599
278,258.0626221
279,256.6207275
280,255.1223968
281,255.8681732
282,260.2079956
283,264.5478302
284,268.0847778
285,271.4797363
286,273.3498718
287,271.927887
288,270.5059021
289,270.3861267
290,270.6232605
291,271.4848785
292,274.1740051
293,276.8631409
294,276.3360229
295,274.5949768
296,272.932428
297,271.5862762
298,270.2401245
299,274.0128113
300,280.2721252
301,285.0337341
302,281.2283691
303,277.4230041
304,276.5959412
305,277.5478455
306,278.5663391
307,280.1537842
308,281.7412109
309,280.7274414
310,277.8683655
311,275.0303864
312,272.4875
