Frequency,Density
412,254.9736389
413,258.5578095
414,253.266214
415,247.9746216
416,245.5404541
417,244.8073456
418,244.0741516
419,243.3406006
420,242.6070587
421,238.4197174
422,232.8740875
423,229.7527375
424,233.3432037
425,236.93367
426,237.932489
427,238.3407349
428,237.1093079
429,233.0244141
430,228.9395172
431,229.1246613
432,229.6968872
433,230.9231964
434,232.8862641
435,234.7999969
436,234.8
437,234.7999969
438,231.4195068
439,225.6052429
440,221.7401306
441,229.9340637
442,238.1279938
443,237.1648193
444,232.2455597
445,228.4937958
446,228.083612
447,227.6734344
448,226.1174408
449,224.3115814
450,221.9369293
451,218.6516083
452,215.3662872
453,215.6681305
454,216.1612183
455,217.6722961
456,220.1391998
457,222.248764
458,220.4386383
459,218.6285095
460,218.3761871
461,218.9524811
462,218.6084991
463,215.0663391
464,211.524176
465,211.5213043
466,212.4279785
467,212.878241
468,212.5483459
469,212.218454
470,211.1872254
471,210.1144409
472,209.9437988
473,210.604364
474,211.1431549
475,210.5648193
476,209.9864777
477,209.5199371
478,209.1065979
479,208.6718292
480,208.175531
481,207.6792267
482,205.3742798
483,202.7257721
484,203.4468018
485,208.7469513
486,213.9801147
487,211.7427979
488,209.5054718
489,207.8596466
490,206.6159546
491,205.9190186
492,207.6612121
493,209.4034119
494,210.1205719
495,210.5356262
496,210.1667725
497,208.4225159
498,206.6782623
499,209.4576813
500,212.4496063
501,212.9331299
502,211.353122
503,210.2389557
504,211.9031037
505,213.5672455
506,211.1045258
507,207.1914764
508,205.1908356
509,206.9402527
510,208.6896728
511,209.5028778
512,210.2530792
513,208.5376282
514,204.7010437
515,201.7844208
516,204.538382
517,207.2923431
518,208.0620483
519,208.1455475
520,208.1418579
521,207.9747589
522,207.8076538
523,209.076355
524,210.4139771
525,210.1069458
526,208.5175812
527,207.2858795
528,207.7880798
529,208.2902832
530,209.8399628
531,211.6824585
532,210.72276
533,205.4434021
534,200.2205597
535,203.2391205
536,206.2576843
537,206.3570252
538,204.6790527
539,203.6195343
540,204.5429627
541,205.466394
542,206.1747559
543,206.8467377
544,204.2102295
545,197.906665
546,192.9883606
547,201.3139832
548,209.6395996
549,211.5176758
550,210.8445007
551,208.5409271
552,203.0681366
553,197.5953583
554,198.6998291
555,200.0477692
556,199.355957
557,197.2485535
558,196.4631622
559,200.4274322
560,204.3917023
561,205.9287995
562,207.025946
563,207.2376434
564,206.4776276
565,205.003128
566,197.6519806
567,190.3008332
568,195.5460235
569,205.1842621
570,208.9743408
571,203.0526215
572,197.1891388
573,196.2580261
574,195.3269226
575,194.8900818
576,194.7206909
577,194.7461884
578,195.2546662
579,195.763147
580,195.0134949
581,194.1655304
582,195.1033356
583,197.3941895
584,198.8225159
585,197.039682
586,195.2568512
587,195.6543793
588,196.4189026
589,197.6951904
590,199.4801331
591,199.5475281
592,189.7670532
593,179.9865692
594,184.103183
595,191.7620056
596,196
597,196
598,195.825
599,194.0358276
600,192.2466583
601,191.6080963
602,191.3523529
603,191.4758881
604,192.1582855
605,192.6575287
606,190.2677307
607,187.8779297
608,188.9128876
609,191.3041107
610,191.6161865
611,188.4544891
612,185.4666778
613,187.4332184
614,189.399762
615,190.1783203
616,190.4349762
617,192.4031921
618,197.453772
619,202.3946899
620,202.1377319
621,201.8807709
622,199.7432007
623,196.7435425
624,194.4074982
625,193.2926758
626,192.182962
627,191.3249024
628,190.4668396
629,188.4844452
630,185.9945984
631,184.7706696
632,185.8015595
633,186.9244751
634,190.8785705
635,194.8326599
636,197.3942017
637,199.3724182
638,199.3590851
639,196.0887878
640,193.0430145
641,193.8180176
642,194.5930176
643,194.5473938
644,194.2027466
645,195.632843
646,199.5986572
647,202.5419678
648,195.3820221
649,188.2220642
650,188.6028259
651,191.1922974
652,192.6
653,192.599997
654,192.891748
655,194.9657715
656,197.0398041
657,197.0427399
658,196.6103943
659,195.6005066
660,194.0431397
661,192.2410461
662,189.470755
663,186.7004639
664,187.4039612
665,188.5300598
666,189.656543
667,190.7833069
668,191.6
669,191.5999969
670,191.6000031
671,189.5817902
672,187.4991455
673,187.6075195
674,188.8231171
675,189.9762634
676,191.0188232
677,191.9590576
678,191.2636047
679,190.5681549
680,189.8723938
681,189.176532
682,187.8813782
683,185.8795868
684,184.6905975
685,187.7386017
686,190.786615
687,193.3842682
688,195.9112549
689,197.1488678
690,197.4104401
691,196.2310638
692,191.2583405
693,186.2856079
694,189.1168549
695,192.0847992
696,189.375357
697,184.1347046
698,181.9131195
699,184.1854156
700,186.5074616
701,189.2183441
702,191.9292297
703,189.7247284
704,186.4872406
705,185.7099793
706,187.0232574
707,188.3367279
708,189.6507782
709,190.9648346
710,191.7677826
711,192.5566833
712,188.6147156
713,182.5629059
714,179.5774811
715,180.9816315
716,182.9551758
717,188.6629211
718,194.3706604
719,188.2159821
720,180.0446838
721,177.3628082
722,178.681543
723,179.7869049
724,180.4026825
725,181.0870514
726,183.9917084
727,186.8963654
728,185.6646179
729,183.1105316
730,182.4436005
731,183.7654694
732,185.0875
733,186.4101501
734,187.7327972
735,185.287619
736,182.6407562
737,183.3662262
738,185.6615387
739,186.447644
740,185.122644
741,183.6625336
742,181.452887
743,179.2432373
744,182.4629303
745,186.3542206
746,185.9647827
747,183.0445862
748,180.2542053
749,177.6864532
750,176.6229401
751,187.7860107
752,198.9490875
753,193.8771149
754,185.9874085
755,182.1656067
756,181.1011933
757,182.0960113
758,187.0662109
759,191.4206543
760,189.3781097
761,187.3355682
762,191.4556152
763,196.7871521
764,194.4752258
765,186.739917
766,181.599997
767,181.6
768,181.9658051
769,186.1496033
770,190.3334167
771,188.0797241
772,184.6059967
773,180.9718933
774,177.2287353
775,175.4576019
776,177.3302917
777,179.4255402
778,183.3515991
779,187.2776581
780,186.7937591
781,185.6330993
782,185.3679962
783,185.6360016
784,184.6552704
785,181.7054809
786,179.2673614
787,179.714566
788,180.1617645
789,173.8981628
790,167.0071564
791,167.1737488
792,170.6660706
793,174.1193359
794,177.5241333
795,180.2959656
796,180.7442352
797,181.1924988
798,177.6717987
799,174.0835449
800,178.1390137
801,184.6914551
802,187.0447235
803,185.6077209
804,183.9825378
805,181.9156189
806,180.2040466
807,182.9915497
808,185.7790527
809,182.5334869
810,178.2147919
811,176.9945526
812,177.6247315
813,178.473703
814,179.6447418
815,180.400708
816,179.3191071
817,178.2375122
818,176.4588287
819,174.6550934
820,173.9301117
821,173.5691498
822,176.3268189
823,181.8347351
824,184.0278259
825,179.0587219
826,174.9342621
827,178.1886993
828,181.4431305
829,177.2900024
830,172.2245453
831,170.0466644
832,169.2320923
833,169.2252319
834,170.1308533
835,170.7763397
836,170.6857239
837,170.6244781
838,171.077832
839,171.5311767
840,174.9088684
841,178.8099701
842,178.3886078
843,175.5745148
844,173.3998444
845,172.0373779
846,171.8023651
847,175.1651123
848,178.4656982
849,180.1935425
850,181.9213867
851,183.1158478
852,184.2077667
853,180.5161072
854,174.142804
855,171.5305695
856,173.6259003
857,175.2680237
858,175.5414947
859,175.5555328
860,171.0862732
861,166.6170105
862,171.9784729
863,178.914505
864,178.2610687
865,173.8778168
866,170.5466553
867,168.3537293
868,168.7720398
869,175.5375915
870,181.4003418
871,179.479248
872,177.5581574
873,175.0480225
874,172.4850464
875,173.410614
876,175.6087586
877,175.6439697
878,173.9027405
879,171.4213867
880,167.6617645
881,164.7362488
882,165.4702698
883,166.2391724
884,172.9410919
885,179.6430145
886,176.3158203
887,170.8959808
888,171.1514252
889,174.4604095
890,174.9786346
891,172.4034515
892,170.2414825
893,169.0451568
894,167.965091
895,167.688855
896,167.4126099
897,173.1153503
898,179.1041107
899,175.7043396
900,169.7120178
901,169.0429565
902,171.7180389
903,175.2583374
904,179.8732941
905,181.3438202
906,174.6943359
907,168.6215942
908,167.0506439
909,165.4796936
910,163.7323151
911,161.9755005
912,163.9277954
913,166.8883942
914,168.6359711
915,169.6542755
916,171.1887207
917,173.3191803
918,174.7434753
919,174.5581055
920,173.9226868
921,170.676831
922,167.4309753
923,166.3890106
924,165.368277
925,167.3711792
926,169.9709473
927,169.7242798
928,168.1449127
929,166.8597351
930,165.8371857
931,165.6907623
932,166.9929657
933,169.5189239
934,176.2199554
935,181.7411408
936,173.2667511
937,164.7923553
938,165.6733399
939,167.2574097
940,164.8963501
941,161.4466247
942,159.8425293
943,159.2827789
944,159.1847565
945,159.5581421
946,158.5497345
947,155.0004486
948,153.2253326
