,"Scan 01044"
"400","11701.75"
"401","11695.82"
"402","11666.55"
"403","11632.08"
"404","11610.43"
"405","11617.02"
"406","11645.92"
"407","11680.45"
"408","11703.93"
"409","11700.95"
"410","11670.82"
"411","11623.06"
"412","11567.34"
"413","11513.15"
"414","11467.98"
"415","11437.42"
"416","11426.99"
"417","11441.96"
"418","11481.31"
"419","11536.29"
"420","11597.77"
"421","11656.63"
"422","11704.88"
"423","11736.13"
"424","11744.22"
"425","11723.05"
"426","11672.7"
"427","11606.04"
"428","11537.45"
"429","11481.24"
"430","11448.2"
"431","11439.86"
"432","11456.2"
"433","11497.22"
"434","11559.05"
"435","11624.67"
"436","11674.27"
"437","11688.19"
"438","11654.1"
"439","11591.29"
"440","11527.56"
"441","11490.52"
"442","11501.35"
"443","11546.93"
"444","11602.53"
"445","11643.61"
"446","11649.44"
"447","11624.1"
"448","11581.89"
"449","11537.03"
"450","11502.28"
"451","11479"
"452","11462.92"
"453","11449.76"
"454","11435.51"
"455","11418.4"
"456","11398.01"
"457","11373.9"
"458","11345.94"
"459","11317.37"
"460","11293.66"
"461","11280.27"
"462","11281.98"
"463","11293.82"
"464","11303.58"
"465","11298.98"
"466","11268.73"
"467","11217.58"
"468","11163.67"
"469","11125.43"
"470","11120.22"
"471","11146.66"
"472","11186.2"
"473","11219.78"
"474","11229.19"
"475","11213.61"
"476","11189.38"
"477","11173.52"
"478","11182.34"
"479","11217.1"
"480","11263.13"
"481","11305.08"
"482","11327.97"
"483","11325.51"
"484","11301.05"
"485","11258.45"
"486","11201.64"
"487","11137.95"
"488","11078.65"
"489","11035.17"
"490","11018.46"
"491","11025.82"
"492","11038.29"
"493","11036.05"
"494","10999.87"
"495","10926.32"
"496","10830.98"
"497","10730.5"
"498","10641.22"
"499","10573.05"
"500","10528.08"
"501","10507.96"
"502","10514.01"
"503","10537.19"
"504","10556.24"
"505","10549.26"
"506","10495.23"
"507","10395.29"
"508","10276.12"
"509","10165.71"
"510","10091.16"
"511","10059.6"
"512","10056.1"
"513","10064.65"
"514","10069.63"
"515","10062.93"
"516","10044.34"
"517","10014"
"518","9972.341"
"519","9926.203"
"520","9888.675"
"521","9873.035"
"522","9891.509"
"523","9937.175"
"524","9985.872"
"525","10012.95"
"526","9995.434"
"527","9936.144"
"528","9859.014"
"529","9788.474"
"530","9747.238"
"531","9735.494"
"532","9736.885"
"533","9734.758"
"534","9713.962"
"535","9676.144"
"536","9633.854"
"537","9599.771"
"538","9585.058"
"539","9586.512"
"540","9592.833"
"541","9592.682"
"542","9576.647"
"543","9550.649"
"544","9528.019"
"545","9522.063"
"546","9543.348"
"547","9584.399"
"548","9630.418"
"549","9666.652"
"550","9680.663"
"551","9672.26"
"552","9645.385"
"553","9603.96"
"554","9553.441"
"555","9506.058"
"556","9475.843"
"557","9476.771"
"558","9515.716"
"559","9574.947"
"560","9631.464"
"561","9662.387"
"562","9653.989"
"563","9617.53"
"564","9568.469"
"565","9522.163"
"566","9489.315"
"567","9470.687"
"568","9465.743"
"569","9473.925"
"570","9492.008"
"571","9512.313"
"572","9526.762"
"573","9527.469"
"574","9512.478"
"575","9487.529"
"576","9458.859"
"577","9432.546"
"578","9411.576"
"579","9395.873"
"580","9385.22"
"581","9379.356"
"582","9377.369"
"583","9377.851"
"584","9379.385"
"585","9380.814"
"586","9383.453"
"587","9390.009"
"588","9403.196"
"589","9424.786"
"590","9450.277"
"591","9472.603"
"592","9484.715"
"593","9481.142"
"594","9463.655"
"595","9436.114"
"596","9402.372"
"597","9367.135"
"598","9337.918"
"599","9322.767"
"600","9329.664"
"601","9359.785"
"602","9399.246"
"603","9432.203"
"604","9443.05"
"605","9426.497"
"606","9393.096"
"607","9354.698"
"608","9322.924"
"609","9304.418"
"610","9300.531"
"611","9312.352"
"612","9340.503"
"613","9379.234"
"614","9418.13"
"615","9446.697"
"616","9455.921"
"617","9448.693"
"618","9433.767"
"619","9419.91"
"620","9413.864"
"621","9412.187"
"622","9408.178"
"623","9395.17"
"624","9369.597"
"625","9337.794"
"626","9308.045"
"627","9288.572"
"628","9283.076"
"629","9286.171"
"630","9291.394"
"631","9292.444"
"632","9288.507"
"633","9285.813"
"634","9291.05"
"635","9310.468"
"636","9343.488"
"637","9383.893"
"638","9425.316"
"639","9461.436"
"640","9486.096"
"641","9493.241"
"642","9476.836"
"643","9433.81"
"644","9375.743"
"645","9318.729"
"646","9278.805"
"647","9265.688"
"648","9271.095"
"649","9283.55"
"650","9291.717"
"651","9291.476"
"652","9290.881"
"653","9299.139"
"654","9324.98"
"655","9366.499"
"656","9411.021"
"657","9445.419"
"658","9457.97"
"659","9451.424"
"660","9437.251"
"661","9427"
"662","9429.868"
"663","9442.236"
"664","9456.104"
"665","9463.496"
"666","9459.345"
"667","9447.155"
"668","9432.017"
"669","9418.96"
"670","9410.725"
"671","9406.266"
"672","9404.197"
"673","9403.183"
"674","9402.927"
"675","9404.091"
"676","9407.379"
"677","9413.477"
"678","9422.995"
"679","9436.499"
"680","9454.551"
"681","9477.219"
"682","9502.384"
"683","9527.347"
"684","9549.412"
"685","9566.396"
"686","9577.262"
"687","9581.127"
"688","9577.223"
"689","9568.329"
"690","9561.476"
"691","9563.924"
"692","9581.912"
"693","9610.028"
"694","9635.4"
"695","9645.058"
"696","9629.37"
"697","9596.128"
"698","9558.798"
"699","9530.804"
"700","9520.625"
"701","9524.269"
"702","9535.8"
"703","9549.356"
"704","9561.238"
"705","9570.517"
"706","9576.448"
"707","9578.547"
"708","9579.481"
"709","9583.996"
"710","9596.854"
"711","9620.899"
"712","9649.177"
"713","9671.6"
"714","9678.126"
"715","9665.04"
"716","9643.575"
"717","9627.098"
"718","9628.61"
"719","9650.769"
"720","9684.353"
"721","9719.491"
"722","9746.838"
"723","9761.881"
"724","9762.84"
"725","9747.966"
"726","9717.979"
"727","9683.693"
"728","9658.51"
"729","9655.709"
"730","9680.408"
"731","9722.736"
"732","9771.233"
"733","9814.727"
"734","9846.898"
"735","9865.646"
"736","9869.013"
"737","9856.135"
"738","9833.237"
"739","9809.378"
"740","9793.594"
"741","9792.076"
"742","9803.334"
"743","9824.573"
"744","9852.959"
"745","9883.508"
"746","9908.657"
"747","9920.701"
"748","9913.354"
"749","9893.63"
"750","9875.821"
"751","9874.285"
"752","9897.915"
"753","9935.663"
"754","9971.938"
"755","9991.374"
"756","9990.32"
"757","9983.114"
"758","9985.591"
"759","10012.12"
"760","10059.11"
"761","10110.8"
"762","10151.2"
"763","10168.09"
"764","10165.84"
"765","10153.45"
"766","10139.89"
"767","10130.63"
"768","10124.94"
"769","10121.49"
"770","10119.1"
"771","10119.13"
"772","10124.86"
"773","10139.61"
"774","10165.68"
"775","10200.41"
"776","10239.61"
"777","10279.12"
"778","10316.29"
"779","10351.3"
"780","10384.63"
"781","10416.58"
"782","10444.62"
"783","10463.99"
"784","10469.91"
"785","10460.31"
"786","10446.45"
"787","10443.56"
"788","10466.72"
"789","10517.9"
"790","10575.55"
"791","10615.73"
"792","10616.54"
"793","10584.09"
"794","10544.56"
"795","10524.57"
"796","10543.59"
"797","10590.36"
"798","10645.42"
"799","10689.43"
"800","10711.99"
"801","10716.59"
"802","10707.96"
"803","10690.77"
"804","10669.05"
"805","10646.47"
"806","10626.68"
"807","10613.09"
"808","10608.31"
"809","10614.77"
"810","10634.81"
"811","10667.9"
"812","10709.88"
"813","10756.35"
"814","10802.95"
"815","10845.39"
"816","10879.4"
"817","10900.73"
"818","10906.91"
"819","10899.99"
"820","10882.71"
"821","10858.09"
"822","10834.6"
"823","10825.7"
"824","10845.04"
"825","10900.96"
"826","10974.04"
"827","11035.83"
"828","11058.12"
"829","11030.76"
"830","10974.7"
"831","10913.96"
"832","10871.18"
"833","10854.26"
"834","10861.9"
"835","10892.67"
"836","10943.08"
"837","11002.92"
"838","11060.61"
