,"Scan 01037"
"400","8359.166"
"401","8322.04"
"402","8294.395"
"403","8276.872"
"404","8270.105"
"405","8274.425"
"406","8287.504"
"407","8305.693"
"408","8325.355"
"409","8342.747"
"410","8352.387"
"411","8347.594"
"412","8321.716"
"413","8268.871"
"414","8198.133"
"415","8132.492"
"416","8095.32"
"417","8109.177"
"418","8174.181"
"419","8262.854"
"420","8346.203"
"421","8395.68"
"422","8399.264"
"423","8371.415"
"424","8328.892"
"425","8288.299"
"426","8259.94"
"427","8241.098"
"428","8227.433"
"429","8214.646"
"430","8199.929"
"431","8184.479"
"432","8170.143"
"433","8158.757"
"434","8152.172"
"435","8152.333"
"436","8161.187"
"437","8180.672"
"438","8210.781"
"439","8243.03"
"440","8266.668"
"441","8271.023"
"442","8248.694"
"443","8209.897"
"444","8170.764"
"445","8147.322"
"446","8152.45"
"447","8178.355"
"448","8208.762"
"449","8227.473"
"450","8220.223"
"451","8187.927"
"452","8138.949"
"453","8081.645"
"454","8024.102"
"455","7972.188"
"456","7930.481"
"457","7903.515"
"458","7895.135"
"459","7901.257"
"460","7912.563"
"461","7919.709"
"462","7914.051"
"463","7896.316"
"464","7874.233"
"465","7855.645"
"466","7847.955"
"467","7851.79"
"468","7862.141"
"469","7873.852"
"470","7881.943"
"471","7884.245"
"472","7881.162"
"473","7873.188"
"474","7860.835"
"475","7845.026"
"476","7827.091"
"477","7808.369"
"478","7790.194"
"479","7773.945"
"480","7761.06"
"481","7752.963"
"482","7750.953"
"483","7752.807"
"484","7752.373"
"485","7743.323"
"486","7719.615"
"487","7682.652"
"488","7642.492"
"489","7609.629"
"490","7594.197"
"491","7596.751"
"492","7606.435"
"493","7611.78"
"494","7601.643"
"495","7573.433"
"496","7534.869"
"497","7494.248"
"498","7459.652"
"499","7433.804"
"500","7412.962"
"501","7393.023"
"502","7369.94"
"503","7340.751"
"504","7303.778"
"505","7257.426"
"506","7200.265"
"507","7135.587"
"508","7072.137"
"509","7018.915"
"510","6984.555"
"511","6968.967"
"512","6962.402"
"513","6954.659"
"514","6935.932"
"515","6904.823"
"516","6868.733"
"517","6835.444"
"518","6812.414"
"519","6800.859"
"520","6795.903"
"521","6792.435"
"522","6785.524"
"523","6773.229"
"524","6756.292"
"525","6735.547"
"526","6711.929"
"527","6688.1"
