Waveshift,Intensity
-31.722347,9498
-29.886687,10277
-28.051868,11770
-26.217889,13715
-24.384749,16148
-22.552448,18231
-20.720985,20385
-18.890361,23301
-17.060575,26705
-15.231626,29622
-13.403514,34398
-11.576239,39656
-9.749799,47663
-7.924195,45566
-6.099426,37055
-4.275492,37011
-2.452392,41429
-0.630127,37125
1.191306,33885
3.011906,32627
4.831672,38287
6.650607,41134
8.46871,27413
10.285982,23423
12.102423,20942
13.918034,19033
15.732815,17803
17.546766,17353
19.359888,16514
21.172181,15215
22.983647,12994
24.794284,11277
26.604094,10495
28.413077,10683
30.221233,9009
32.028563,8017
33.835068,7023
35.640747,6812
37.445602,5875
39.249632,6165
41.052838,5885
42.855221,5750
44.656781,5936
46.457517,6081
48.257432,5175
50.056525,5331
51.854796,6789
53.652246,5786
55.448876,6038
57.244685,5777
59.039675,5971
60.833846,6612
62.627197,6643
64.41973,6615
66.211446,6730
68.002343,7301
69.792423,7804
71.581687,7178
73.370134,9058
75.157765,8685
76.944581,9728
78.730581,10510
80.515767,10817
82.300139,12457
84.083697,13113
85.866441,13930
87.648372,15265
89.429491,16255
91.209797,19572
92.989292,20175
94.767976,22735
96.545848,25524
98.32291,31007
100.099162,35910
101.874604,34039
103.649237,37617
105.423061,37881
107.196077,42707
108.968284,41686
110.739684,41193
112.510277,39792
114.280063,39920
116.049042,40051
117.817216,43509
119.584584,49374
121.351147,46078
123.116905,45182
124.881859,46159
126.646009,39500
128.409356,50041
130.171899,49415
131.93364,47907
133.694578,40383
135.454715,46224
137.21405,45760
138.972584,43295
140.730317,53445
142.48725,49099
144.243384,42428
145.998718,49244
147.753252,45739
149.506989,50040
151.259927,51371
153.012067,55254
154.76341,50330
156.513956,54449
158.263705,52710
160.012659,53609
161.760816,50711
163.508178,54233
165.254745,53514
167.000518,55067
168.745496,56084
170.489681,55187
172.233072,55766
173.975671,58579
175.717476,53335
177.45849,57096
179.198712,54717
180.938142,57187
182.676782,55443
184.414631,58093
186.15169,57400
187.887959,56004
189.623439,59559
191.35813,57205
193.092032,58598
194.825147,58438
196.557473,58516
198.289012,59199
200.019764,58842
201.74973,58707
203.478909,59823
205.207303,60092
206.934911,60585
208.661735,60845
210.387773,59001
212.113028,59703
213.837499,59792
215.561186,60626
217.28409,60754
219.006212,60580
220.727552,60775
222.44811,61676
224.167886,61647
225.886881,61135
227.605096,61410
229.32253,61085
231.039185,61202
232.75506,61093
234.470156,60229
236.184473,61677
237.898012,61216
239.610773,61339
241.322757,62484
243.033964,62410
244.744393,61510
246.454047,62266
248.162924,62057
249.871026,62090
251.578353,62473
253.284905,62171
254.990683,63205
256.695686,62408
258.399916,62829
260.103373,62934
261.806057,62987
263.507968,63272
265.209107,62786
266.909475,62694
268.609071,62945
270.307897,62491
272.005952,63064
273.703236,63179
275.399751,63105
277.095497,63022
278.790473,63553
280.484681,63026
282.178121,63265
283.870793,63614
285.562697,40911
287.253835,40528
288.944205,38903
290.633809,30862
292.322648,32339
294.010721,36489
295.698028,38586
297.384571,40219
299.070349,38331
300.755364,39709
302.439614,34872
304.123102,35061
305.805826,37285
307.487788,35445
309.168988,35470
310.849426,40310
312.529103,33422
314.208018,33222
315.886173,23294
317.563568,37103
319.240203,38119
320.916079,40183
322.591195,36157
324.265552,38657
325.939151,34905
327.611993,35153
329.284076,35707
330.955402,36626
332.625972,42436
334.295785,37280
335.964841,34330
337.633142,31563
339.300688,38439
340.967479,30082
342.633515,37824
344.298796,35957
345.963324,36739
347.627098,35255
349.29012,40391
350.952388,35696
352.613904,37328
354.274668,34109
355.93468,33881
357.593941,38257
359.252451,38506
360.910211,31578
362.56722,36818
364.22348,33204
365.87899,30826
367.533751,41127
369.187763,35161
370.841027,33803
372.493543,37004
374.145311,42607
375.796332,37879
377.446607,23192
379.096134,42443
380.744916,34674
382.392952,31697
384.040242,37859
385.686787,47090
387.332588,37051
388.977645,39723
390.621957,36450
392.265526,41937
393.908351,31245
395.550434,40003
397.191775,37887
398.832373,28655
400.472229,39606
402.111344,43360
403.749718,43057
405.387351,39209
407.024244,30077
408.660397,37827
410.295811,40254
411.930485,41232
413.56442,40100
415.197617,47816
416.830076,25821
418.461796,40713
420.09278,40616
421.723026,36804
423.352536,29814
424.981309,32452
426.609346,37776
428.236648,35750
429.863214,41642
431.489046,44137
433.114143,29646
434.738505,39942
436.362134,32925
437.98503,31495
439.607192,35906
441.228621,33083
442.849318,38497
444.469283,31206
446.088516,37455
447.707018,32773
449.324789,28443
450.941829,35490
452.558139,31881
454.173719,38321
455.78857,6624
457.402691,36573
459.016083,38403
460.628747,38228
462.240682,39408
463.85189,39308
465.46237,36286
467.072124,39437
468.68115,31496
470.28945,39680
471.897024,33720
473.503872,34025
475.109995,39900
476.715393,35206
478.320066,40522
479.924015,34656
481.52724,36460
483.129741,35656
484.731519,33109
486.332575,38693
487.932907,27092
489.532517,37618
491.131406,30838
492.729573,30944
494.327019,36982
495.923744,37128
497.519748,28825
