Frequent,Density
-31.722347,11608
-29.886687,13324
-28.051868,15651
-26.217889,17693
-24.384749,21317
-22.552448,24466
-20.720985,28244
-18.890361,32194
-17.060575,35686
-15.231626,41669
-13.403514,42245
-11.576239,47084
-9.749799,47290
-7.924195,45209
-6.099426,36751
-4.275492,36356
-2.452392,40880
-0.630127,36413
1.191306,33274
3.011906,32125
4.831672,37702
6.650607,40506
8.46871,30997
10.285982,25326
12.102423,22382
13.918034,20129
15.732815,18651
17.546766,18881
19.359888,17361
21.172181,15239
22.983647,12676
24.794284,11017
26.604094,10533
28.413077,9980
30.221233,8562
32.028563,7198
33.835068,5748
35.640747,4998
37.445602,4476
39.249632,4291
41.052838,4243
42.855221,4072
44.656781,4069
46.457517,3774
48.257432,3514
50.056525,3300
51.854796,3132
53.652246,3266
55.448876,3223
57.244685,3315
59.039675,3520
60.833846,3958
62.627197,3495
64.41973,3980
66.211446,4120
68.002343,4180
69.792423,4233
71.581687,4595
73.370134,4976
75.157765,5132
76.944581,5918
78.730581,6625
80.515767,7233
82.300139,7688
84.083697,9148
85.866441,10481
87.648372,11330
89.429491,12851
91.209797,14286
92.989292,16904
94.767976,19401
96.545848,22571
98.32291,26978
100.099162,32555
101.874604,27565
103.649237,31684
105.423061,31702
107.196077,36705
108.968284,35358
110.739684,34514
112.510277,32758
114.280063,32601
116.049042,31992
117.817216,35937
119.584584,43071
121.351147,38409
123.116905,36552
124.881859,37722
126.646009,28696
128.409356,41611
130.171899,40588
131.93364,38030
133.694578,27327
135.454715,34502
137.21405,33129
138.972584,29196
140.730317,43605
142.48725,36091
144.243384,25419
145.998718,34828
147.753252,28970
149.506989,34952
151.259927,36423
153.012067,42799
154.76341,33174
156.513956,40035
158.263705,35910
160.012659,36533
161.760816,30121
163.508178,36277
165.254745,33441
167.000518,36943
168.745496,38242
170.489681,35370
172.233072,35896
173.975671,42710
175.717476,28227
177.45849,37027
179.198712,29539
180.938142,35794
182.676782,29815
184.414631,36961
186.15169,33893
187.887959,28687
189.623439,39807
191.35813,30713
193.092032,34850
194.825147,33708
196.557473,33093
198.289012,34891
200.019764,33118
201.74973,31615
203.478909,35500
205.207303,35566
206.934911,37435
208.661735,38323
210.387773,31879
212.113028,31168
213.837499,30633
215.561186,34247
217.28409,34625
219.006212,32365
220.727552,32760
222.44811,37538
224.167886,37103
225.886881,33088
227.605096,34462
229.32253,31660
231.039185,31673
232.75506,30175
234.470156,23936
236.184473,32605
237.898012,28642
239.610773,28982
241.322757,36951
243.033964,36176
244.744393,28432
246.454047,34035
248.162924,31329
249.871026,31199
251.578353,34250
253.284905,30800
254.990683,40209
256.695686,31772
258.399916,35231
260.103373,36067
261.806057,35750
263.507968,38764
265.209107,32640
266.909475,31775
268.609071,32901
270.307897,28289
272.005952,33688
273.703236,34732
275.399751,33473
277.095497,31930
278.790473,38074
280.484681,30630
282.178121,33618
283.870793,38372
285.562697,30105
287.253835,39983
288.944205,38241
290.633809,30265
292.322648,31810
294.010721,35934
295.698028,38099
297.384571,39766
299.070349,37506
300.755364,39035
302.439614,34447
304.123102,34505
305.805826,36689
307.487788,34821
309.168988,34691
310.849426,39585
312.529103,32668
314.208018,32530
315.886173,21806
317.563568,35807
319.240203,36868
320.916079,39730
322.591195,35959
324.265552,38077
325.939151,34521
327.611993,34844
329.284076,35109
330.955402,36207
332.625972,41774
334.295785,36888
335.964841,34192
337.633142,31464
339.300688,37965
340.967479,29747
342.633515,37714
344.298796,35470
345.963324,36026
347.627098,34972
349.29012,39961
350.952388,35125
352.613904,36799
354.274668,33751
355.93468,33374
357.593941,37932
359.252451,38128
360.910211,30749
362.56722,36291
364.22348,32999
365.87899,30108
367.533751,40566
369.187763,34778
370.841027,33277
372.493543,36155
374.145311,42130
375.796332,37253
377.446607,22379
379.096134,42014
380.744916,33991
382.392952,31229
384.040242,37182
385.686787,46471
387.332588,36579
388.977645,39627
390.621957,35914
392.265526,41475
393.908351,31047
395.550434,39871
397.191775,37411
398.832373,28267
400.472229,39195
402.111344,43033
403.749718,42809
405.387351,39101
407.024244,29705
408.660397,37597
410.295811,39948
411.930485,40988
413.56442,39792
415.197617,47480
416.830076,25678
418.461796,40610
420.09278,39988
421.723026,36488
423.352536,29450
424.981309,31545
426.609346,37425
428.236648,35704
429.863214,41240
431.489046,43717
433.114143,29592
434.738505,39812
436.362134,32588
437.98503,31270
439.607192,35630
441.228621,32666
442.849318,38412
444.469283,30760
446.088516,37113
447.707018,32405
449.324789,27929
450.941829,35224
452.558139,31722
454.173719,38250
455.78857,6216
457.402691,36306
459.016083,37996
460.628747,37805
462.240682,39297
463.85189,38890
465.46237,36001
467.072124,39204
468.68115,31368
470.28945,39544
471.897024,33481
473.503872,33678
475.109995,39754
476.715393,34926
478.320066,40210
479.924015,34302
481.52724,36219
483.129741,35241
484.731519,32709
486.332575,38405
487.932907,26819
489.532517,37167
491.131406,30616
492.729573,30532
494.327019,36558
495.923744,36693
497.519748,28343
499.115033,35182
500.709597,39076
502.303442,37909
503.896568,36270
505.488976,34777
507.080665,38185
508.671635,37342
510.261889,28794
511.851424,36267
513.440243,32480
515.028345,37952
516.615731,38833
518.202401,36691
519.788355,34811
521.373593,41662
522.958117,35558
524.541926,28898
526.125021,36021
527.707402,29743
529.28907,36621
530.870024,24885
532.450265,30123
534.029794,35032
535.60861,34301
537.186715,41666
538.764108,32020
540.340789,29425
541.91676,38592
543.492021,39224
545.066571,33055
546.640411,34846
548.213542,31638
549.785964,30678
551.357676,39726
552.928681,34887
554.498977,44303
556.068565,31891
557.637446,40765
559.20562,43553
560.773087,39755
562.339847,35697
563.905901,33111
565.47125,31616
567.035893,30788
568.599831,31869
570.163064,36872
571.725593,35933
573.287417,37272
574.848538,41248
576.408955,35234
577.968669,33144
579.52768,35914
581.085989,31094
582.643596,39158
584.200501,36765
585.756704,31912
587.312207,41773
588.867008,38569
590.42111,38581
591.974511,34002
593.527212,34946
