Wave shift,Intensity
408.660397,37807
410.295811,40234
411.930485,41212
413.56442,40080
415.197617,47796
416.830076,25801
418.461796,40693
420.09278,40596
421.723026,36784
423.352536,29794
424.981309,32432
426.609346,37756
428.236648,35730
429.863214,41622
431.489046,44117
433.114143,29626
434.738505,39922
436.362134,32905
437.98503,31475
439.607192,35886
441.228621,33063
442.849318,38477
444.469283,31186
446.088516,37435
447.707018,32753
449.324789,28423
450.941829,35470
452.558139,31861
454.173719,38301
455.78857,6604
457.402691,36553
459.016083,38383
460.628747,38208
462.240682,39388
463.85189,39288
465.46237,36266
467.072124,39417
468.68115,31476
470.28945,39660
471.897024,33700
473.503872,34005
475.109995,39880
476.715393,35186
478.320066,40502
479.924015,34636
481.52724,36440
483.129741,35636
484.731519,33089
486.332575,38673
487.932907,27072
489.532517,37598
491.131406,30818
492.729573,30924
494.327019,36962
495.923744,37108
497.519748,28805
499.115033,35663
500.709597,39506
502.303442,38145
503.896568,36616
505.488976,34934
507.080665,38541
508.671635,37685
510.261889,28964
511.851424,36558
513.440243,32967
515.028345,38196
516.615731,39274
518.202401,36986
519.788355,35153
521.373593,42233
522.958117,35756
524.541926,29399
526.125021,36643
527.707402,29884
529.28907,37040
530.870024,25290
532.450265,30489
534.029794,35445
535.60861,34466
537.186715,42164
538.764108,32495
540.340789,29616
541.91676,38776
543.492021,39525
545.066571,33118
546.640411,35159
548.213542,32066
549.785964,31108
551.357676,40136
552.928681,35433
554.498977,44521
556.068565,32391
557.637446,41390
559.20562,44034
560.773087,40262
562.339847,35808
563.905901,33459
565.47125,32041
567.035893,30901
568.599831,32317
570.163064,36772
571.725593,36301
573.287417,37634
574.848538,41766
576.408955,35900
577.968669,33542
579.52768,36054
581.085989,31623
582.643596,39371
584.200501,36966
585.756704,32071
587.312207,40976
588.867008,38749
590.42111,38879
591.974511,34059
593.527212,35179
595.079214,30541
596.630516,38866
598.18112,39193
599.731025,24435
601.280232,36061
602.828742,38826
604.376554,36765
605.923668,38740
607.470086,32911
609.015808,39439
610.560833,36105
612.105162,38840
613.648796,35780
615.191735,34831
616.733979,33173
618.275528,38401
619.816383,32452
621.356544,31216
622.896012,37219
624.434787,37889
625.972868,33072
627.510257,33246
629.046954,37708
630.582959,32913
632.118272,33326
633.652894,37477
635.186825,37016
636.720066,37178
638.252616,33174
639.784476,36864
641.315647,31041
642.846128,29391
644.37592,32637
645.905024,33079
647.433439,27854
648.961166,36182
650.488206,36112
652.014558,30848
653.540223,32311
655.065201,35581
656.589493,35297
658.113099,34940
659.636019,35276
661.158253,34709
662.679803,34881
664.200668,34818
665.720848,34640
667.240344,34693
668.759156,34411
670.277284,34421
671.79473,34179
673.311492,34032
674.827572,34005
676.34297,33750
677.857686,33787
679.37172,33456
680.885072,28257
682.397744,33519
683.909735,33075
685.421046,33366
686.931677,33008
688.441628,30688
689.950899,32543
691.459492,32542
692.967406,32897
694.474641,32466
695.981198,32369
697.487078,16553
698.992279,32623
700.496804,32124
702.000652,31971
703.503823,29261
705.006318,30020
706.508137,31791
708.00928,31736
709.509748,31823
711.009541,31327
712.50866,31321
714.007104,30984
715.504874,29615
717.00197,31275
718.498393,31354
719.994142,30925
721.489219,31161
722.983624,31233
724.477356,31126
725.970416,29185
727.462805,30641
728.954522,30977
730.445569,25396
731.935944,30465
733.42565,30681
734.914685,30278
736.403051,30788
737.890748,30446
739.377775,30286
740.864133,27666
742.349823,30313
743.834845,30340
745.319199,30099
746.802886,30165
748.285905,30183
749.768257,30230
751.249943,30268
752.730962,29877
754.211315,29974
755.691003,29809
757.170025,29535
758.648382,29263
760.126075,29776
761.603102,29783
763.079466,29339
764.555166,29248
766.030202,29514
767.504575,29114
768.978285,29109
770.451332,28807
771.923717,29024
773.39544,29161
774.866501,28871
776.3369,28874
777.806639,28440
779.275716,28660
780.744134,28535
782.21189,28273
783.678987,28039
785.145425,27750
786.611203,28120
788.076322,27551
789.540782,27536
791.004583,27354
792.467727,26901
793.930213,26882
795.392041,26593
796.853212,26408
798.313726,26619
799.773584,26485
801.232785,26133
802.69133,26019
804.14922,25702
805.606454,25842
807.063032,25790
808.518956,25438
809.974226,25503
811.428841,25183
812.882802,25219
814.33611,25019
815.788764,25115
817.240766,24857
818.692114,24081
820.14281,24494
821.592854,24570
823.042246,24402
824.490986,24228
825.939075,23838
827.386514,24049
828.833301,23457
830.279438,23235
831.724925,23378
833.169762,23417
834.61395,23114
836.057488,23137
837.500378,23125
838.942619,23343
840.384212,22884
841.825156,22787
843.265453,22507
844.705102,16598
846.144105,22698
847.58246,22322
849.020169,22144
850.457231,21984
851.893648,21939
853.329418,21825
854.764544,21841
856.199024,22022
857.632859,21580
859.06605,21641
860.498597,21499
861.9305,21137
863.361759,21457
864.792374,21254
866.222347,20835
867.651677,21129
869.080364,21254
870.508409,20647
871.935812,20927
873.362574,20530
874.788694,20484
876.214173,20415
877.639011,20575
879.063209,20195
880.486766,20171
881.909684,20090
883.331962,19855
884.753601,20143
886.174601,19867
887.594961,19829
889.014684,19171
890.433768,19564
891.852214,19709
893.270023,19547
894.687194,19440
896.103729,19035
897.519626,18928
898.934887,19314
900.349512,19096
901.763501,18662
903.176854,18610
904.589572,18316
906.001655,18339
907.413103,18068
908.823917,18109
910.234096,18047
911.643642,17936
913.052554,17885
914.460832,17858
915.868477,17948
917.27549,17529
918.68187,17604
920.087618,17644
921.492734,17587
922.897218,17592
924.301071,17554
925.704292,17672
927.106883,16912
928.508844,17085
929.910174,16970
931.310874,16903
932.710944,16714
934.110385,16940
935.509197,16620
936.907379,17115
938.304934,16586
939.70186,16699
941.098158,16208
942.493828,16880
943.88887,16316
945.283286,16347
946.677075,16656
948.070236,16356
949.462772,16414
950.854681,16064
952.245965,16350
953.636623,16312
955.026656,16094
956.416064,16271
957.804847,16072
959.193006,16161
960.58054,16822
961.967451,16209
963.353738,16379
964.739402,16662
966.124442,15849
967.50886,15709
968.892656,16050
970.275829,16125
971.65838,15751
973.04031,15570
974.421618,15783
975.802305,15443
977.182371,15776
978.561816,15952
979.940641,15661
981.318846,15808
982.696432,15678
984.073398,15858
985.449744,15454
986.825472,15417
988.200581,15884
989.575072,16013
990.948944,15615
992.322199,15719
993.694836,15560
995.066855,15472
996.438258,15660
997.809044,15308
999.179213,15796
1000.548766,15472
1001.917703,15482
1003.286024,15112
1004.65373,14992
1006.020821,15448
1007.387297,15394
1008.753158,15671
1010.118405,15266
1011.483038,15092
1012.847057,15326
1014.210462,15285
1015.573254,15034
1016.935433,14663
1018.296999,15130
1019.657953,14933
1021.018295,15024
1022.378025,15107
1023.737143,14927
1025.095649,14781
1026.453544,14803
1027.810829,15092
1029.167503,14676
1030.523566,14576
1031.87902,14646
1033.233863,14612
1034.588097,14544
1035.941722,14790
1037.294738,14978
1038.647145,14601
1039.998943,14466
1041.350133,14470
1042.700716,14557
1044.05069,14651
1045.400057,14594
1046.748817,14677
1048.09697,14641
1049.444516,14901
1050.791456,14705
1052.13779,14451
1053.483518,14562
1054.82864,14863
1056.173157,14584
1057.517069,14975
1058.860376,14553
1060.203079,15095
1061.545177,14762
1062.886671,14844
1064.227562,14912
1065.567848,14640
1066.907532,14906
1068.246613,14707
1069.585091,15124
1070.922966,14680
1072.260239,14778
1073.596911,14453
1074.93298,14780
1076.268448,14566
1077.603315,14140
1078.937581,14305
1080.271247,14170
1081.604312,14472
1082.936776,14051
1084.268641,14454
1085.599907,14271
1086.930573,13849
1088.260639,14152
1089.590107,13879
1090.918977,13655
1092.247248,14293
1093.574921,13725
1094.901996,13690
1096.228474,14122
1097.554354,14049
1098.879637,13900
1100.204323,14230
1101.528413,13887
1102.851907,13949
1104.174804,14240
1105.497106,13976
1106.818812,14135
1108.139923,13947
1109.460439,13896
1110.78036,13800
1112.099687,13884
1113.41842,13836
1114.736558,13689
1116.054103,13844
1117.371054,13746
1118.687412,13242
1120.003177,13420
1121.318349,13923
1122.632929,13352
1123.946916,13489
1125.260312,13577
1126.573116,13640
1127.885328,13454
1129.196949,13516
1130.507979,13310
1131.818419,13531
1133.128268,13450
1134.437527,13783
1135.746195,13180
1137.054275,13375
1138.361764,13292
1139.668665,12911
1140.974976,12781
1142.280699,12808
1143.585833,12745
1144.890379,12816
1146.194337,13194
1147.497708,12677
1148.800491,12796
1150.102687,12443
1151.404295,12958
1152.705318,12607
1154.005753,12758
1155.305603,13000
1156.604866,12581
1157.903544,12627
1159.201636,13034
1160.499143,12591
1161.796065,12694
1163.092402,12773
1164.388155,12541
1165.683324,12553
1166.977908,12535
1168.271909,12801
1169.565326,12824
1170.85816,12904
1172.150411,12754
1173.44208,12629
1174.733165,12866
1176.023669,12742
1177.31359,12756
1178.60293,12893
1179.891688,12811
1181.179865,12539
1182.467461,12269
1183.754476,12178
1185.04091,12478
1186.326765,12597
1187.612039,12598
1188.896733,12612
1190.180848,12599
1191.464383,12683
1192.747339,12446
1194.029717,13065
1195.311515,12574
1196.592736,13020
1197.873378,12487
1199.153442,12869
1200.432929,12759
1201.711838,12607
1202.990171,12842
1204.267926,12756
1205.545105,12493
1206.821707,12897
1208.097733,12687
1209.373183,12547
1210.648057,12956
1211.922356,12679
1213.196079,12649
1214.469228,12800
1215.741802,12616
1217.013801,12658
1218.285226,12396
1219.556077,12603
1220.826355,12566
1222.096058,12726
1223.365189,12769
1224.633746,12414
1225.90173,12378
1227.169142,12571
1228.435982,12179
1229.702249,12514
1230.967945,12519
1232.233069,12481
1233.497621,12736
1234.761602,12327
1236.025013,12305
1237.287852,12426
1238.550121,12141
1239.81182,11908
1241.072949,11922
1242.333509,12040
1243.593498,12055
1244.852919,12089
1246.11177,11876
1247.370053,12127
1248.627767,12248
1249.884912,12462
1251.14149,12032
1252.397499,12032
1253.652942,12104
1254.907816,11928
1256.162124,11933
1257.415864,11960
1258.669038,11796
1259.921646,11992
1261.173687,11726
1262.425162,11992
1263.676071,12258
1264.926415,12102
1266.176194,12050
1267.425408,12265
1268.674056,12108
1269.92214,12125
1271.16966,12247
1272.416616,12255
1273.663008,12480
1274.908836,12268
1276.1541,12285
1277.398802,12054
1278.64294,12069
1279.886516,12068
1281.129529,12106
1282.37198,11728
1283.613869,12155
1284.855196,12080
1286.095962,11792
1287.336166,11607
1288.575809,11946
1289.814891,11720
1291.053413,12002
1292.291374,11648
1293.528775,11526
1294.765616,11665
1296.001897,11910
1297.237618,11531
1298.472781,11840
1299.707384,11755
1300.941428,11843
1302.174914,11471
1303.407842,11866
1304.640211,11566
1305.872022,11661
1307.103276,11647
1308.333972,11448
1309.564111,11561
1310.793693,11353
1312.022719,11594
1313.251187,11640
1314.4791,11772
1315.706456,11570
1316.933256,11452
1318.159501,11557
1319.38519,11774
1320.610324,11498
1321.834903,11151
1323.058928,11394
1324.282398,11921
1325.505313,11671
1326.727675,11303
1327.949482,11550
1329.170736,11253
1330.391437,11453
1331.611584,11459
1332.831179,11392
1334.050221,11649
1335.26871,11298
1336.486647,11428
1337.704032,11600
1338.920865,11466
1340.137147,11539
1341.352877,11645
1342.568056,11752
1343.782684,11004
1344.996761,11293
1346.210288,11448
1347.423265,11018
1348.635691,11242
1349.847568,10980
1351.058895,10919
1352.269673,10922
1353.479901,10801
1354.689581,10609
1355.898712,11050
1357.107294,10936
1358.315329,11039
1359.522815,11031
1360.729753,10962
1361.936144,11053
1363.141987,11224
1364.347283,11135
1365.552032,11028
1366.756235,10895
1367.959891,10943
1369.163,10910
1370.365564,10979
1371.567582,10478
1372.769054,11148
1373.96998,10482
1375.170362,10783
1376.370198,10976
1377.56949,11103
1378.768237,11340
1379.96644,10905
1381.164099,10824
1382.361214,10700
1383.557785,10931
1384.753813,11138
1385.949297,11125
1387.144239,11078
1388.338637,10944
1389.532493,10681
1390.725807,10635
1391.918579,10923
1393.110808,10993
1394.302496,10598
1395.493643,11022
1396.684248,10316
