Frequent,Density
410.295811,39953
411.930485,40993
413.56442,39797
415.197617,47485
416.830076,25683
418.461796,40615
420.09278,39993
421.723026,36493
423.352536,29455
424.981309,31550
426.609346,37430
428.236648,35709
429.863214,41245
431.489046,43722
433.114143,29597
434.738505,39817
436.362134,32593
437.98503,31275
439.607192,35635
441.228621,32671
442.849318,38417
444.469283,30765
446.088516,37118
447.707018,32410
449.324789,27934
450.941829,35229
452.558139,31727
454.173719,38255
455.78857,6221
457.402691,36311
459.016083,38001
460.628747,37810
462.240682,39302
463.85189,38895
465.46237,36006
467.072124,39209
468.68115,31373
470.28945,39549
471.897024,33486
473.503872,33683
475.109995,39759
476.715393,34931
478.320066,40215
479.924015,34307
481.52724,36224
483.129741,35246
484.731519,32714
486.332575,38410
487.932907,26824
489.532517,37172
491.131406,30621
492.729573,30537
494.327019,36563
495.923744,36698
497.519748,28348
499.115033,35187
500.709597,39081
502.303442,37914
503.896568,36275
505.488976,34782
507.080665,38190
508.671635,37347
510.261889,28799
511.851424,36272
513.440243,32485
515.028345,37957
516.615731,38838
518.202401,36696
519.788355,34816
521.373593,41667
522.958117,35563
524.541926,28903
526.125021,36026
527.707402,29748
529.28907,36626
530.870024,24890
532.450265,30128
534.029794,35037
535.60861,34306
537.186715,41671
538.764108,32025
540.340789,29430
541.91676,38597
543.492021,39229
545.066571,33060
546.640411,34851
548.213542,31643
549.785964,30683
551.357676,39731
552.928681,34892
554.498977,44308
556.068565,31896
557.637446,40770
559.20562,43558
560.773087,39760
562.339847,35702
563.905901,33116
565.47125,31621
567.035893,30793
568.599831,31874
570.163064,36877
571.725593,35938
573.287417,37277
574.848538,41253
576.408955,35239
577.968669,33149
579.52768,35919
581.085989,31099
582.643596,39163
584.200501,36770
585.756704,31917
587.312207,41778
588.867008,38574
590.42111,38586
591.974511,34007
593.527212,34951
595.079214,30261
596.630516,38529
598.18112,39395
599.731025,24096
601.280232,35786
602.828742,38627
604.376554,36377
605.923668,38414
607.470086,32450
609.015808,41161
610.560833,36028
612.105162,38437
613.648796,35327
615.191735,34405
616.733979,32739
618.275528,41849
619.816383,32107
621.356544,30928
622.896012,36789
