Wave shift,Intensity
-31.722347,9708
-29.886687,11119
-28.051868,12484
-26.217889,14290
-24.384749,16790
-22.552448,19421
-20.720985,21938
-18.890361,24913
-17.060575,28265
-15.231626,32223
-13.403514,37361
-11.576239,42997
-9.749799,47825
-7.924195,45606
-6.099426,37520
-4.275492,37121
-2.452392,41461
-0.630127,37103
1.191306,33925
3.011906,33090
4.831672,38539
6.650607,41315
8.46871,27051
10.285982,22897
12.102423,21146
13.918034,19321
15.732815,17432
17.546766,17764
19.359888,17173
21.172181,14678
22.983647,11853
24.794284,10536
26.604094,9937
28.413077,9585
30.221233,8559
32.028563,6803
33.835068,5522
35.640747,5087
37.445602,4607
39.249632,4308
41.052838,3942
42.855221,4088
44.656781,3796
46.457517,3850
48.257432,3532
50.056525,3640
51.854796,3848
53.652246,3451
55.448876,3616
57.244685,3723
59.039675,3925
60.833846,3763
62.627197,3870
64.41973,4076
66.211446,4044
68.002343,4245
69.792423,4526
71.581687,4507
73.370134,5142
75.157765,5317
76.944581,6137
78.730581,6509
80.515767,7464
82.300139,8100
84.083697,9167
85.866441,10149
87.648372,10943
89.429491,12525
91.209797,14587
92.989292,15962
94.767976,18831
96.545848,22034
98.32291,25571
100.099162,31098
101.874604,28700
103.649237,32671
105.423061,32723
107.196077,37437
108.968284,36363
110.739684,35414
112.510277,33792
114.280063,33150
116.049042,33177
117.817216,36776
119.584584,43691
121.351147,39242
123.116905,37619
124.881859,38491
126.646009,29662
128.409356,42412
130.171899,41269
131.93364,38960
133.694578,28208
135.454715,35207
137.21405,34128
138.972584,29997
140.730317,44160
142.48725,37084
144.243384,26816
145.998718,35708
147.753252,30213
149.506989,35756
151.259927,37400
153.012067,43356
154.76341,33742
156.513956,40821
158.263705,36696
160.012659,37674
161.760816,31254
163.508178,37049
165.254745,34861
167.000518,37574
168.745496,38891
170.489681,36359
172.233072,36741
173.975671,43195
175.717476,29461
177.45849,38088
179.198712,30782
180.938142,36609
182.676782,31112
184.414631,37865
186.15169,34876
187.887959,30037
189.623439,40477
191.35813,31500
193.092032,36023
194.825147,34592
196.557473,33961
198.289012,35769
200.019764,33970
201.74973,32532
203.478909,36042
205.207303,36445
206.934911,38495
208.661735,39079
210.387773,33254
212.113028,31977
213.837499,31599
215.561186,35020
217.28409,35704
219.006212,33229
220.727552,33821
222.44811,38334
224.167886,38060
225.886881,33968
227.605096,35245
229.32253,32565
231.039185,32767
232.75506,30996
234.470156,24512
236.184473,33471
237.898012,29751
239.610773,30096
241.322757,37878
243.033964,37150
244.744393,29706
246.454047,35200
248.162924,32162
249.871026,32171
251.578353,35033
253.284905,31819
254.990683,40784
256.695686,32779
258.399916,36068
260.103373,36883
261.806057,36656
263.507968,39480
265.209107,33746
266.909475,32736
268.609071,33702
270.307897,29280
272.005952,34812
273.703236,35613
275.399751,34302
277.095497,32957
278.790473,38932
280.484681,31784
282.178121,34275
283.870793,39139
285.562697,31221
287.253835,40764
288.944205,39176
290.633809,31496
292.322648,32874
294.010721,36911
295.698028,38962
297.384571,40350
299.070349,38346
300.755364,39869
302.439614,35272
304.123102,35213
305.805826,37483
307.487788,35919
309.168988,35561
310.849426,40446
312.529103,33591
314.208018,33500
315.886173,23432
317.563568,36735
319.240203,37875
320.916079,40266
322.591195,36888
324.265552,39042
325.939151,35650
327.611993,35380
329.284076,36027
330.955402,37150
332.625972,42523
334.295785,37477
335.964841,34988
337.633142,32222
339.300688,38763
340.967479,31010
342.633515,38275
344.298796,36234
345.963324,37061
347.627098,36016
349.29012,40845
350.952388,36164
352.613904,37927
354.274668,34717
355.93468,34222
357.593941,38647
359.252451,38926
360.910211,31632
362.56722,37213
364.22348,33901
365.87899,30972
367.533751,41157
369.187763,35842
370.841027,34219
372.493543,37295
374.145311,42552
375.796332,38319
377.446607,23643
379.096134,42692
380.744916,35080
382.392952,32138
384.040242,38174
385.686787,47022
387.332588,37424
388.977645,40506
390.621957,36857
392.265526,42251
393.908351,32009
395.550434,40378
397.191775,38439
398.832373,29371
400.472229,40006
402.111344,43769
403.749718,43517
405.387351,39678
407.024244,30834
408.660397,38507
410.295811,40835
411.930485,41893
413.56442,40389
415.197617,48069
416.830076,26938
418.461796,41284
420.09278,40887
421.723026,37303
423.352536,30527
424.981309,33057
426.609346,38258
428.236648,36438
429.863214,41890
431.489046,44318
433.114143,30389
434.738505,40643
436.362134,33637
437.98503,31995
439.607192,36539
441.228621,33541
442.849318,39094
444.469283,32075
446.088516,37996
447.707018,33394
449.324789,28763
450.941829,36035
452.558139,32618
454.173719,38804
455.78857,8127
457.402691,37016
459.016083,39170
460.628747,38567
462.240682,39976
463.85189,39804
465.46237,37018
467.072124,40069
468.68115,32234
470.28945,40164
471.897024,34486
473.503872,34783
475.109995,40541
476.715393,35733
478.320066,40716
479.924015,34889
481.52724,37048
483.129741,36137
484.731519,33457
486.332575,39262
487.932907,28061
489.532517,37894
491.131406,31729
492.729573,31579
494.327019,37355
495.923744,37609
497.519748,29693
499.115033,36107
500.709597,39696
502.303442,38792
503.896568,37171
505.488976,35515
507.080665,38958
508.671635,38548
510.261889,29924
511.851424,37118
513.440243,33538
515.028345,38729
516.615731,39500
518.202401,37680
519.788355,35621
521.373593,42599
522.958117,36373
524.541926,29910
526.125021,36838
527.707402,30743
529.28907,37604
530.870024,26025
532.450265,31007
534.029794,36125
535.60861,35184
537.186715,42468
538.764108,33005
540.340789,30390
541.91676,39267
543.492021,39990
545.066571,34030
546.640411,35397
548.213542,32283
549.785964,31772
551.357676,40563
552.928681,35859
554.498977,44761
556.068565,33026
557.637446,41520
559.20562,44394
560.773087,40596
562.339847,36719
563.905901,34159
565.47125,32722
567.035893,31653
568.599831,32976
570.163064,37448
571.725593,37026
573.287417,38197
574.848538,42031
576.408955,36082
577.968669,33782
579.52768,36625
581.085989,32047
582.643596,39852
584.200501,37531
585.756704,32811
587.312207,42645
588.867008,39344
590.42111,39408
591.974511,34834
593.527212,35886
595.079214,31219
596.630516,39378
598.18112,40008
599.731025,25295
601.280232,36511
602.828742,39698
604.376554,37331
605.923668,39314
607.470086,33736
609.015808,41766
610.560833,36841
612.105162,39254
613.648796,36243
615.191735,35368
616.733979,33719
618.275528,42911
619.816383,33017
621.356544,31748
622.896012,37862
624.434787,39110
625.972868,33610
627.510257,34379
629.046954,39222
630.582959,33657
632.118272,33823
633.652894,41345
635.186825,37732
636.720066,38087
638.252616,33793
639.784476,40688
641.315647,31735
642.846128,30336
644.37592,33510
645.905024,33683
647.433439,28644
648.961166,39977
650.488206,39801
652.014558,31477
653.540223,33028
655.065201,36098
656.589493,38052
658.113099,35674
659.636019,35907
661.158253,35340
662.679803,38569
664.200668,36374
665.720848,38469
667.240344,38440
668.759156,35364
670.277284,35009
671.79473,37652
673.311492,36185
674.827572,37434
676.34297,37290
677.857686,34291
679.37172,37333
680.885072,28789
682.397744,35935
683.909735,36257
685.421046,34556
686.931677,36285
688.441628,31351
689.950899,35854
691.459492,35785
692.967406,36234
694.474641,35967
695.981198,35996
697.487078,17636
698.992279,35455
700.496804,35557
702.000652,35524
703.503823,30189
705.006318,30922
706.508137,35488
708.00928,32749
709.509748,35357
711.009541,34876
712.50866,34934
714.007104,31920
715.504874,30469
717.00197,34477
718.498393,34281
719.994142,34562
721.489219,34324
722.983624,34109
724.477356,33909
725.970416,30338
727.462805,34340
728.954522,32648
730.445569,26205
731.935944,34205
733.42565,34005
734.914685,33798
736.403051,33682
737.890748,33767
739.377775,33639
740.864133,28613
742.349823,33111
743.834845,32999
745.319199,33590
746.802886,33434
748.285905,33334
749.768257,33276
751.249943,32950
752.730962,33544
754.211315,33310
755.691003,32472
757.170025,32922
758.648382,30499
760.126075,32337
761.603102,32672
763.079466,32696
764.555166,32286
766.030202,32153
767.504575,31922
768.978285,32092
770.451332,31960
771.923717,32014
773.39544,31967
774.866501,31837
776.3369,31685
777.806639,31549
779.275716,31504
780.744134,30894
