Frequency,Intensity
1269.92214,14000
1271.16966,13956
1272.416616,13502
1273.663008,13638
1274.908836,13800
1276.1541,13531
1277.398802,13689
1278.64294,13330
1279.886516,13458
1281.129529,13447
1282.37198,13288
1283.613869,13062
1284.855196,13380
1286.095962,12970
1287.336166,13192
1288.575809,13089
1289.814891,13160
1291.053413,13137
1292.291374,13022
1293.528775,12735
1294.765616,12851
1296.001897,12829
1297.237618,12585
1298.472781,13048
1299.707384,13101
1300.941428,12684
1302.174914,13058
1303.407842,12845
1304.640211,13179
1305.872022,13228
1307.103276,12989
1308.333972,13406
1309.564111,13228
1310.793693,13090
1312.022719,13017
1313.251187,13436
1314.4791,13504
1315.706456,13675
1316.933256,13608
1318.159501,13921
1319.38519,13477
1320.610324,13693
1321.834903,13704
1323.058928,13873
1324.282398,13730
1325.505313,13635
1326.727675,13726
1327.949482,14055
1329.170736,13936
1330.391437,13714
1331.611584,13929
1332.831179,13860
1334.050221,13882
1335.26871,13633
1336.486647,13990
1337.704032,13557
1338.920865,13791
1340.137147,13630
1341.352877,13420
1342.568056,13712
1343.782684,13954
1344.996761,13643
1346.210288,13404
1347.423265,13525
1348.635691,13675
1349.847568,13744
1351.058895,13435
1352.269673,13297
1353.479901,13241
1354.689581,13229
1355.898712,13205
1357.107294,13350
1358.315329,13424
1359.522815,13634
1360.729753,13314
1361.936144,13632
1363.141987,13728
1364.347283,13393
1365.552032,13704
1366.756235,13626
1367.959891,13711
1369.163,13629
1370.365564,13206
1371.567582,13453
1372.769054,13870
1373.96998,13769
1375.170362,13774
1376.370198,13538
1377.56949,13100
1378.768237,13176
1379.96644,12993
1381.164099,12942
1382.361214,13074
1383.557785,13205
1384.753813,13355
1385.949297,12655
1387.144239,12686
1388.338637,12918
1389.532493,12736
1390.725807,12605
1391.918579,12554
1393.110808,12524
1394.302496,12336
1395.493643,12219
1396.684248,12442
1397.874312,12016
1399.063835,11957
1400.252818,12057
1401.44126,11921
1402.629162,11830
1403.816524,11587
1405.003346,11732
1406.189629,11775
1407.375372,11908
1408.560576,11720
1409.745241,11700
1410.929368,11549
1412.112956,11471
1413.296006,11609
1414.478517,11601
1415.660491,11463
1416.841927,11597
1418.022826,11582
1419.203188,11282
1420.383012,11667
1421.5623,11593
1422.741051,11556
1423.919266,11570
1425.096945,11384
1426.274088,11603
1427.450695,11291
1428.626766,11187
1429.802302,11420
1430.977303,11471
1432.15177,11477
1433.325701,11363
1434.499098,11362
1435.671961,11323
1436.84429,11337
1438.016085,11413
1439.187347,11017
1440.358075,11382
1441.528269,11168
1442.697931,11382
1443.86706,11313
1445.035657,11007
1446.203721,11244
1447.371253,11297
1448.538253,11344
1449.704721,11395
1450.870658,11427
1452.036064,11169
1453.200938,10839
1454.365282,11441
1455.529094,11489
