Frequent,Density
-31.722347,18101
-29.886687,20526
-28.051868,23364
-26.217889,27052
-24.384749,31130
-22.552448,36080
-20.720985,40825
-18.890361,44823
-17.060575,37366
-15.231626,48262
-13.403514,43022
-11.576239,47608
-9.749799,47655
-7.924195,45650
-6.099426,37436
-4.275492,37146
-2.452392,41213
-0.630127,36905
1.191306,34374
3.011906,33235
4.831672,38310
6.650607,41190
8.46871,45480
10.285982,35590
12.102423,37750
13.918034,34704
15.732815,32037
17.546766,31331
19.359888,29816
21.172181,26439
22.983647,21185
24.794284,18758
26.604094,17903
28.413077,17053
30.221233,14687
32.028563,11920
33.835068,9493
35.640747,8197
37.445602,7796
39.249632,7277
41.052838,6714
42.855221,6460
44.656781,6312
46.457517,6111
48.257432,5650
50.056525,5495
51.854796,5800
53.652246,5067
55.448876,5103
57.244685,4754
59.039675,4979
60.833846,5489
62.627197,5313
64.41973,5439
66.211446,5595
68.002343,5655
69.792423,5860
71.581687,5986
73.370134,6567
75.157765,6709
76.944581,7413
78.730581,7923
80.515767,8946
82.300139,9561
84.083697,10860
85.866441,11482
87.648372,12435
89.429491,14332
91.209797,16064
92.989292,17814
94.767976,19907
96.545848,23359
98.32291,27411
100.099162,32665
101.874604,28438
103.649237,32686
105.423061,32541
107.196077,37503
108.968284,36193
110.739684,35382
112.510277,33636
114.280063,33182
116.049042,32713
117.817216,36704
119.584584,43574
121.351147,38921
123.116905,37348
124.881859,38462
126.646009,29451
128.409356,42294
130.171899,41196
131.93364,38791
133.694578,28086
135.454715,35111
137.21405,34058
138.972584,30017
140.730317,43933
142.48725,37014
144.243384,26581
145.998718,35734
147.753252,29992
149.506989,35688
151.259927,37224
153.012067,43380
154.76341,33700
156.513956,40591
158.263705,36399
160.012659,37399
161.760816,31079
163.508178,37051
165.254745,34329
167.000518,37517
168.745496,38929
170.489681,36195
172.233072,36479
173.975671,43256
175.717476,28866
177.45849,37764
179.198712,30777
180.938142,36619
182.676782,30991
184.414631,37600
186.15169,34661
187.887959,29926
189.623439,40485
191.35813,31579
193.092032,35783
194.825147,34408
196.557473,33852
198.289012,35880
200.019764,33683
201.74973,32047
203.478909,36249
205.207303,36473
206.934911,38129
208.661735,38977
210.387773,33653
212.113028,31774
213.837499,31654
215.561186,34896
217.28409,35230
219.006212,33198
220.727552,33848
222.44811,38170
224.167886,37693
225.886881,33870
227.605096,35446
229.32253,32545
231.039185,32470
232.75506,30934
234.470156,24572
236.184473,33476
237.898012,29596
239.610773,29816
241.322757,37750
243.033964,36857
244.744393,29673
246.454047,34823
248.162924,32067
249.871026,32184
251.578353,34920
253.284905,31638
254.990683,40783
256.695686,32751
258.399916,35887
260.103373,36979
261.806057,36532
263.507968,39573
265.209107,33843
266.909475,32479
268.609071,33667
270.307897,29251
272.005952,34726
273.703236,35453
275.399751,34305
277.095497,33019
278.790473,38913
280.484681,31662
282.178121,34154
283.870793,39026
285.562697,31073
287.253835,40802
288.944205,39104
