Frequent,Density
-31.722347,12486
-29.886687,14555
-28.051868,16851
-26.217889,19369
-24.384749,22906
-22.552448,26068
-20.720985,30337
-18.890361,34794
-17.060575,36725
-15.231626,45298
-13.403514,42448
-11.576239,47235
-9.749799,47161
-7.924195,45383
-6.099426,36879
-4.275492,36377
-2.452392,40936
-0.630127,36499
1.191306,33546
3.011906,32376
4.831672,37515
6.650607,40461
8.46871,34376
10.285982,29169
12.102423,26211
13.918034,22759
15.732815,21233
17.546766,21139
19.359888,20242
21.172181,17854
22.983647,14271
24.794284,12645
26.604094,12253
28.413077,11560
30.221233,10292
32.028563,9143
33.835068,6525
35.640747,5567
37.445602,5247
39.249632,4671
41.052838,4684
42.855221,4294
44.656781,4267
46.457517,4166
48.257432,3837
50.056525,4005
51.854796,3616
53.652246,3489
55.448876,3428
57.244685,3628
59.039675,3767
60.833846,4001
62.627197,4106
64.41973,4153
66.211446,4981
68.002343,4553
69.792423,4917
71.581687,5316
73.370134,5683
75.157765,5755
76.944581,6354
78.730581,7332
80.515767,7935
82.300139,8691
84.083697,10102
85.866441,11332
87.648372,12277
89.429491,13926
91.209797,15616
92.989292,18266
94.767976,20941
96.545848,24454
98.32291,28536
100.099162,34993
101.874604,27637
103.649237,31811
105.423061,31800
107.196077,36890
108.968284,35651
110.739684,34683
112.510277,32532
114.280063,32287
116.049042,31876
117.817216,36036
119.584584,43120
121.351147,38565
123.116905,36814
124.881859,37785
126.646009,28599
128.409356,41871
130.171899,40591
131.93364,37890
133.694578,27269
135.454715,34630
137.21405,33220
138.972584,29398
140.730317,43612
142.48725,36223
144.243384,25490
145.998718,34945
147.753252,29354
149.506989,34817
151.259927,36592
153.012067,42750
154.76341,33041
156.513956,40062
158.263705,35525
160.012659,37011
161.760816,30328
163.508178,36519
165.254745,33420
167.000518,36979
168.745496,38552
170.489681,35403
172.233072,35684
173.975671,42947
175.717476,28144
177.45849,37249
179.198712,29788
180.938142,35769
182.676782,30326
184.414631,37007
186.15169,33867
187.887959,28653
189.623439,39803
191.35813,30802
193.092032,34954
194.825147,33732
196.557473,33209
198.289012,34960
200.019764,32772
201.74973,31428
203.478909,35469
205.207303,35753
206.934911,37777
208.661735,38585
210.387773,32789
212.113028,31241
213.837499,31009
215.561186,34179
217.28409,34381
219.006212,32327
220.727552,32901
222.44811,37445
224.167886,37132
225.886881,33181
227.605096,34850
229.32253,31495
231.039185,31857
232.75506,30277
234.470156,23621
236.184473,32840
237.898012,28810
239.610773,28943
241.322757,37335
243.033964,36407
244.744393,28659
246.454047,34174
248.162924,31430
249.871026,31346
251.578353,34358
253.284905,30820
254.990683,40430
256.695686,31924
258.399916,35344
260.103373,35922
261.806057,35809
263.507968,38706
265.209107,32717
266.909475,31737
268.609071,32822
270.307897,28401
272.005952,34112
273.703236,34747
275.399751,33717
277.095497,32264
278.790473,38265
280.484681,30779
282.178121,33622
283.870793,38103
285.562697,30271
287.253835,40355
288.944205,38414
290.633809,30332
292.322648,31726
294.010721,36040
295.698028,38146
297.384571,39598
299.070349,37583
300.755364,39092
302.439614,34429
304.123102,34506
305.805826,36802
307.487788,35062
309.168988,35075
310.849426,39795
312.529103,32690
314.208018,32466
315.886173,21980
317.563568,35892
319.240203,36968
320.916079,39544
322.591195,35950
324.265552,38295
325.939151,34479
327.611993,34729
329.284076,35083
330.955402,36204
332.625972,41848
334.295785,36826
335.964841,34081
337.633142,31484
339.300688,38101
340.967479,29815
342.633515,37660
344.298796,35753
345.963324,36315
347.627098,34983
349.29012,39982
350.952388,35627
352.613904,36757
354.274668,34128
355.93468,33736
357.593941,37634
359.252451,38012
360.910211,31117
362.56722,36201
364.22348,32825
365.87899,30202
367.533751,40605
369.187763,35079
370.841027,33587
372.493543,36435
374.145311,41902
375.796332,37461
377.446607,22296
379.096134,42198
380.744916,34006
382.392952,31414
384.040242,37325
385.686787,46521
387.332588,36698
388.977645,39516
390.621957,36116
392.265526,41629
393.908351,30977
395.550434,39918
397.191775,37755
398.832373,28589
400.472229,39231
402.111344,43145
403.749718,42838
405.387351,39044
407.024244,29787
408.660397,37452
410.295811,40091
411.930485,41312
413.56442,39649
415.197617,47518
416.830076,25841
418.461796,40468
420.09278,40145
421.723026,36549
423.352536,29526
424.981309,31867
426.609346,37851
428.236648,35717
429.863214,41523
431.489046,43852
433.114143,29648
434.738505,40082
436.362134,32663
437.98503,31416
439.607192,35697
441.228621,32813
442.849318,38252
444.469283,31012
446.088516,37349
447.707018,32309
449.324789,27915
450.941829,35507
452.558139,31863
454.173719,38415
455.78857,6321
457.402691,36298
459.016083,38284
460.628747,37800
462.240682,39060
463.85189,38965
465.46237,36202
467.072124,39297
468.68115,31311
470.28945,39531
471.897024,33313
473.503872,33774
475.109995,39637
476.715393,34936
478.320066,40146
479.924015,34199
481.52724,36358
483.129741,35207
484.731519,32877
486.332575,38396
487.932907,26868
489.532517,37222
491.131406,30584
492.729573,30647
494.327019,36585
495.923744,36727
497.519748,28552
499.115033,35471
500.709597,39000
502.303442,38183
503.896568,36428
505.488976,34679
507.080665,37978
508.671635,37407
510.261889,28984
511.851424,36223
513.440243,32722
515.028345,38148
516.615731,38952
518.202401,36731
519.788355,34900
521.373593,41812
522.958117,35733
524.541926,29137
526.125021,36022
527.707402,30161
529.28907,36813
530.870024,24817
532.450265,30213
534.029794,35164
535.60861,34085
537.186715,41897
538.764108,32081
540.340789,29189
541.91676,38423
543.492021,39301
545.066571,33137
546.640411,34599
548.213542,31859
549.785964,30790
551.357676,39861
552.928681,35155
554.498977,44110
556.068565,32250
557.637446,40964
559.20562,43479
560.773087,40096
562.339847,35846
563.905901,33130
565.47125,31989
567.035893,30706
568.599831,31891
570.163064,36718
571.725593,36102
573.287417,37719
574.848538,41334
576.408955,35468
577.968669,33010
579.52768,35814
581.085989,31238
582.643596,38908
584.200501,36801
585.756704,32036
587.312207,41902
588.867008,38690
590.42111,38653
591.974511,33949
593.527212,35079
595.079214,30304
596.630516,38552
598.18112,39295
599.731025,24199
601.280232,35746
602.828742,38843
604.376554,36421
605.923668,38458
607.470086,32742
609.015808,41062
610.560833,36036
612.105162,38551
613.648796,35454
615.191735,34476
616.733979,32924
618.275528,42889
619.816383,32364
621.356544,31124
