Wave shift,Intensity
-31.722347,8720
-29.886687,9282
-28.051868,10875
-26.217889,12558
-24.384749,14296
-22.552448,17037
-20.720985,18796
-18.890361,21494
-17.060575,24117
-15.231626,27190
-13.403514,31637
-11.576239,36200
-9.749799,43998
-7.924195,45543
-6.099426,37032
-4.275492,36988
-2.452392,41406
-0.630127,37102
1.191306,33862
3.011906,32604
4.831672,38264
6.650607,41111
8.46871,27325
10.285982,22605
12.102423,19734
13.918034,18001
15.732815,16677
17.546766,16899
19.359888,16051
21.172181,14917
22.983647,12453
24.794284,10947
26.604094,10542
28.413077,10868
30.221233,8849
32.028563,8159
33.835068,6944
35.640747,6480
37.445602,5614
39.249632,6227
41.052838,5424
42.855221,5753
44.656781,5605
46.457517,5797
48.257432,4912
50.056525,5453
51.854796,6645
53.652246,5957
55.448876,6141
57.244685,5864
59.039675,6263
60.833846,6629
62.627197,6751
64.41973,6665
66.211446,6792
68.002343,7564
69.792423,7635
71.581687,7088
73.370134,9015
75.157765,8480
76.944581,9688
78.730581,10294
80.515767,10873
82.300139,12490
84.083697,13175
85.866441,13610
87.648372,14876
89.429491,15973
91.209797,19369
92.989292,20302
94.767976,22473
96.545848,25146
98.32291,30875
100.099162,35105
101.874604,34016
103.649237,37594
105.423061,37858
107.196077,42684
108.968284,41663
110.739684,41170
112.510277,39769
114.280063,39897
116.049042,40028
117.817216,43486
119.584584,49351
121.351147,46055
123.116905,45159
124.881859,46136
126.646009,39477
128.409356,50018
130.171899,49392
131.93364,47884
133.694578,40360
135.454715,46201
137.21405,45737
138.972584,43272
140.730317,53422
142.48725,49076
144.243384,42405
145.998718,49221
147.753252,45716
149.506989,50017
151.259927,51348
153.012067,55231
154.76341,50307
156.513956,54426
158.263705,52687
160.012659,53586
161.760816,50688
163.508178,54210
165.254745,53491
167.000518,55044
168.745496,56061
170.489681,55164
172.233072,55743
173.975671,58556
175.717476,53312
177.45849,57073
179.198712,54694
180.938142,57164
182.676782,55420
184.414631,58070
186.15169,57377
187.887959,55981
189.623439,59536
191.35813,57182
193.092032,58575
194.825147,58415
196.557473,58493
198.289012,59176
200.019764,58819
201.74973,58684
203.478909,59800
205.207303,60069
206.934911,60562
208.661735,60822
210.387773,58978
212.113028,59680
213.837499,59769
215.561186,60603
217.28409,60731
219.006212,60557
220.727552,60752
222.44811,61653
224.167886,61624
225.886881,61112
227.605096,61387
229.32253,61062
231.039185,61179
232.75506,61070
234.470156,60206
236.184473,61654
237.898012,61193
239.610773,61316
241.322757,62461
243.033964,62387
244.744393,61487
246.454047,62243
248.162924,62034
249.871026,62067
251.578353,62450
253.284905,62148
254.990683,63182
256.695686,62385
258.399916,62806
260.103373,62911
261.806057,62964
263.507968,63249
265.209107,62763
266.909475,62671
268.609071,62922
270.307897,62468
272.005952,63041
273.703236,63156
275.399751,63082
277.095497,62999
278.790473,63530
280.484681,63003
282.178121,63242
283.870793,63591
285.562697,40888
287.253835,40505
288.944205,38880
290.633809,30839
292.322648,32316
294.010721,36466
295.698028,38563
297.384571,40196
299.070349,38308
300.755364,39686
302.439614,34849
304.123102,35038
305.805826,37262
307.487788,35422
309.168988,35447
310.849426,40287
312.529103,33399
314.208018,33199
315.886173,23271
317.563568,37080
319.240203,38096
320.916079,40160
322.591195,36134
324.265552,38634
325.939151,34882
327.611993,35130
329.284076,35684
330.955402,36603
332.625972,42413
334.295785,37257
335.964841,34307
337.633142,31540
339.300688,38416
340.967479,30059
342.633515,37801
344.298796,35934
345.963324,36716
347.627098,35232
349.29012,40368
350.952388,35673
352.613904,37305
354.274668,34086
355.93468,33858
357.593941,38234
359.252451,38483
360.910211,31555
362.56722,36795
364.22348,33181
365.87899,30803
367.533751,41104
369.187763,35138
370.841027,33780
372.493543,36981
374.145311,42584
375.796332,37856
377.446607,23169
379.096134,42420
380.744916,34651
382.392952,31674
384.040242,37836
385.686787,47067
387.332588,37028
388.977645,39700
390.621957,36427
392.265526,41914
393.908351,31222
395.550434,39980
397.191775,37864
398.832373,28632
400.472229,39583
402.111344,43337
403.749718,43034
405.387351,39186
407.024244,30054
408.660397,37804
410.295811,40231
411.930485,41209
413.56442,40077
415.197617,47793
416.830076,25798
418.461796,40690
420.09278,40593
421.723026,36781
423.352536,29791
424.981309,32429
426.609346,37753
428.236648,35727
429.863214,41619
431.489046,44114
433.114143,29623
434.738505,39919
436.362134,32902
437.98503,31472
439.607192,35883
441.228621,33060
442.849318,38474
444.469283,31183
446.088516,37432
447.707018,32750
449.324789,28420
450.941829,35467
452.558139,31858
454.173719,38298
455.78857,6601
457.402691,36550
459.016083,38380
460.628747,38205
462.240682,39385
463.85189,39285
465.46237,36263
467.072124,39414
468.68115,31473
470.28945,39657
471.897024,33697
473.503872,34002
475.109995,39877
476.715393,35183
478.320066,40499
479.924015,34633
481.52724,36437
483.129741,35633
484.731519,33086
486.332575,38670
487.932907,27069
489.532517,37595
491.131406,30815
492.729573,30921
494.327019,36959
495.923744,37105
497.519748,28802
499.115033,35660
500.709597,39503
502.303442,38142
503.896568,36613
505.488976,34931
507.080665,38538
508.671635,37682
510.261889,28961
511.851424,36555
513.440243,32964
515.028345,38193
516.615731,39271
518.202401,36983
519.788355,35150
521.373593,42230
522.958117,35753
524.541926,29396
526.125021,36640
527.707402,29881
529.28907,37037
530.870024,25287
532.450265,30486
534.029794,35442
535.60861,34463
537.186715,42161
538.764108,32492
540.340789,29613
541.91676,38773
543.492021,39522
545.066571,33115
546.640411,35156
548.213542,32063
549.785964,31105
551.357676,40133
552.928681,35430
554.498977,44414
556.068565,32388
557.637446,41387
559.20562,44031
560.773087,40259
562.339847,35805
563.905901,33456
565.47125,32038
567.035893,30898
568.599831,32314
570.163064,36769
571.725593,36298
573.287417,37631
574.848538,41763
576.408955,35897
577.968669,33539
579.52768,36051
581.085989,31620
582.643596,39368
584.200501,36963
585.756704,32068
587.312207,40729
588.867008,38746
590.42111,38876
591.974511,34056
593.527212,35176
595.079214,30538
596.630516,38863
598.18112,39190
599.731025,24432
601.280232,36058
602.828742,38823
604.376554,36762
605.923668,38737
607.470086,32908
609.015808,39397
610.560833,36102
612.105162,38837
613.648796,35777
615.191735,34828
616.733979,33170
618.275528,37927
619.816383,32449
621.356544,31213
622.896012,37216
624.434787,37947
625.972868,33069
627.510257,33243
629.046954,37738
630.582959,32910
632.118272,33323
633.652894,37364
635.186825,36822
636.720066,37068
638.252616,33171
639.784476,36374
641.315647,31038
642.846128,29388
644.37592,32634
645.905024,33076
647.433439,27851
648.961166,35821
650.488206,35993
652.014558,30845
653.540223,32308
655.065201,35578
656.589493,35303
658.113099,34937
659.636019,35032
661.158253,34706
662.679803,34960
664.200668,35050
665.720848,34392
667.240344,34339
668.759156,34618
670.277284,34418
671.79473,34279
673.311492,34005
674.827572,34014
676.34297,33324
677.857686,33537
679.37172,33444
680.885072,28254
682.397744,33294
683.909735,33020
685.421046,32995
686.931677,32793
688.441628,30685
689.950899,32353
691.459492,32699
692.967406,32672
694.474641,32169
695.981198,32162
697.487078,16550
698.992279,32480
700.496804,31854
702.000652,31651
703.503823,29258
705.006318,30017
706.508137,31550
708.00928,31640
709.509748,31462
711.009541,31181
712.50866,31431
714.007104,30981
715.504874,29612
717.00197,31117
718.498393,31251
719.994142,30744
721.489219,30766
722.983624,31159
724.477356,30763
725.970416,29182
727.462805,30609
728.954522,30750
730.445569,25393
731.935944,30364
733.42565,30725
734.914685,30355
736.403051,30715
737.890748,30174
739.377775,30038
740.864133,27663
742.349823,30430
743.834845,29786
745.319199,30334
746.802886,29971
748.285905,30194
749.768257,30227
751.249943,29922
752.730962,29845
754.211315,29846
755.691003,29413
757.170025,29478
758.648382,29260
760.126075,29547
761.603102,29260
763.079466,29343
764.555166,29078
766.030202,28954
767.504575,28908
768.978285,29078
770.451332,28658
771.923717,29004
773.39544,28829
774.866501,28427
776.3369,28567
777.806639,28276
779.275716,28638
780.744134,28351
782.21189,28048
783.678987,27914
785.145425,27588
786.611203,27960
788.076322,27546
789.540782,27368
791.004583,27190
792.467727,26835
793.930213,26577
795.392041,26473
796.853212,26328
798.313726,26651
799.773584,26112
801.232785,25995
802.69133,26063
804.14922,25543
805.606454,25698
807.063032,25754
808.518956,25280
809.974226,24988
811.428841,25134
812.882802,25293
814.33611,24881
815.788764,25029
817.240766,24716
818.692114,24195
820.14281,24716
821.592854,24315
823.042246,24153
824.490986,23684
825.939075,23790
827.386514,23930
828.833301,23390
830.279438,23287
831.724925,23280
833.169762,23460
834.61395,23001
836.057488,22900
837.500378,23190
838.942619,22922
840.384212,22520
841.825156,22763
843.265453,22649
844.705102,16595
846.144105,22588
847.58246,22290
849.020169,22152
850.457231,21555
851.893648,22135
853.329418,21824
854.764544,21919
856.199024,21488
857.632859,21714
859.06605,21752
860.498597,21181
861.9305,21438
863.361759,21103
864.792374,21473
866.222347,20723
867.651677,20815
869.080364,21541
870.508409,20352
871.935812,20899
873.362574,20412
874.788694,20506
876.214173,20071
877.639011,20590
879.063209,20258
880.486766,20235
881.909684,20032
883.331962,19762
884.753601,19971
886.174601,19777
887.594961,19768
889.014684,19189
890.433768,19586
891.852214,19530
893.270023,19185
894.687194,19106
896.103729,18917
897.519626,18724
898.934887,18845
900.349512,18849
901.763501,18470
903.176854,18617
904.589572,17998
906.001655,18073
907.413103,17781
908.823917,18101
910.234096,17983
911.643642,18149
913.052554,17933
914.460832,17811
915.868477,17917
917.27549,17742
918.68187,17565
920.087618,17391
921.492734,17596
922.897218,17607
924.301071,17353
925.704292,17273
927.106883,17158
928.508844,16984
929.910174,16968
931.310874,16941
932.710944,16575
934.110385,16537
935.509197,16654
936.907379,16992
938.304934,16577
939.70186,16564
941.098158,15883
942.493828,16609
943.88887,16213
945.283286,16057
946.677075,16677
948.070236,16320
949.462772,16515
950.854681,16063
952.245965,16399
953.636623,16095
955.026656,15763
956.416064,16184
957.804847,15944
