Frequence,Intensity
392.265526,41480
393.908351,31052
395.550434,39876
397.191775,37416
398.832373,28272
400.472229,39200
402.111344,43038
403.749718,42814
405.387351,39106
407.024244,29710
408.660397,37602
410.295811,39953
411.930485,40993
413.56442,39797
415.197617,47485
416.830076,25683
418.461796,40615
420.09278,39993
421.723026,36493
423.352536,29455
424.981309,31550
426.609346,37430
428.236648,35709
429.863214,41245
431.489046,43722
433.114143,29597
434.738505,39817
436.362134,32593
437.98503,31275
439.607192,35635
441.228621,32671
442.849318,38417
444.469283,30765
446.088516,37118
447.707018,32410
449.324789,27934
450.941829,35229
452.558139,31727
454.173719,38255
455.78857,6221
457.402691,36311
459.016083,38001
460.628747,37810
462.240682,39302
463.85189,38895
465.46237,36006
467.072124,39209
468.68115,31373
470.28945,39549
471.897024,33486
473.503872,33683
475.109995,39759
476.715393,34931
478.320066,40215
479.924015,34307
481.52724,36224
483.129741,35246
484.731519,32714
486.332575,38410
487.932907,26824
489.532517,37172
491.131406,30621
492.729573,30537
494.327019,36563
495.923744,36698
497.519748,28348
499.115033,35187
500.709597,39081
502.303442,37914
503.896568,36275
505.488976,34782
507.080665,38190
508.671635,37347
510.261889,28799
511.851424,36272
513.440243,32485
515.028345,37957
516.615731,38838
518.202401,36696
519.788355,34816
521.373593,41667
522.958117,35563
524.541926,28903
526.125021,36026
527.707402,29748
529.28907,36626
530.870024,24890
532.450265,30128
534.029794,35037
535.60861,34306
537.186715,41671
538.764108,32025
540.340789,29430
541.91676,38597
543.492021,39229
545.066571,33060
546.640411,34851
548.213542,31643
549.785964,30683
551.357676,39731
552.928681,34892
554.498977,44308
556.068565,31896
557.637446,40770
559.20562,43558
560.773087,39760
562.339847,35702
563.905901,33116
565.47125,31621
567.035893,30793
568.599831,31874
570.163064,36877
571.725593,35938
573.287417,37277
574.848538,41253
576.408955,35239
577.968669,33149
579.52768,35919
581.085989,31099
582.643596,39163
584.200501,36770
585.756704,31917
587.312207,41778
588.867008,38574
590.42111,38586
591.974511,34007
593.527212,34951
595.079214,30261
596.630516,38529
598.18112,39395
599.731025,24096
601.280232,35786
602.828742,38627
604.376554,36377
605.923668,38414
607.470086,32450
609.015808,41161
610.560833,36028
612.105162,38437
613.648796,35327
615.191735,34405
616.733979,32739
618.275528,41838
619.816383,32107
621.356544,30928
622.896012,36789
624.434787,38298
625.972868,32748
627.510257,33300
629.046954,38430
630.582959,32619
632.118272,32865
633.652894,40456
635.186825,36682
636.720066,37285
638.252616,32892
639.784476,39793
641.315647,30800
642.846128,29257
644.37592,32459
645.905024,32718
647.433439,27647
648.961166,39036
650.488206,39263
652.014558,30182
653.540223,32095
655.065201,35306
656.589493,36996
658.113099,34852
659.636019,35245
661.158253,34364
662.679803,37969
664.200668,35414
665.720848,37354
667.240344,37031
668.759156,34644
670.277284,33897
671.79473,36583
673.311492,35126
674.827572,36262
676.34297,36086
677.857686,33223
679.37172,36070
680.885072,27847
682.397744,35082
683.909735,35451
685.421046,33436
686.931677,35160
688.441628,30156
689.950899,36402
691.459492,37120
692.967406,34936
694.474641,34510
695.981198,34753
697.487078,16066
698.992279,34726
700.496804,34484
702.000652,34386
703.503823,28916
705.006318,29919
706.508137,34144
708.00928,32088
709.509748,34280
711.009541,33947
712.50866,33803
714.007104,30950
715.504874,29340
717.00197,33542
718.498393,33140
719.994142,33592
721.489219,33259
722.983624,33278
724.477356,33281
725.970416,29227
727.462805,32857
728.954522,31759
730.445569,25153
731.935944,32737
733.42565,32386
734.914685,32779
736.403051,33036
737.890748,32668
739.377775,32203
740.864133,27321
742.349823,32222
743.834845,31988
745.319199,32483
746.802886,32294
748.285905,32373
749.768257,32182
751.249943,31810
752.730962,32380
754.211315,31668
755.691003,31687
757.170025,31928
758.648382,29203
760.126075,31238
761.603102,31426
763.079466,31508
764.555166,31029
766.030202,30955
767.504575,30725
768.978285,30876
770.451332,30681
771.923717,30705
773.39544,30360
774.866501,30571
776.3369,30558
777.806639,30171
779.275716,30473
780.744134,29588
782.21189,29663
783.678987,29125
785.145425,29240
786.611203,29393
788.076322,29064
789.540782,28859
791.004583,27924
792.467727,28296
793.930213,27815
795.392041,27605
796.853212,27846
798.313726,27622
799.773584,27706
801.232785,26988
802.69133,27171
804.14922,26729
805.606454,27029
807.063032,26647
808.518956,26344
809.974226,26470
811.428841,26231
812.882802,26283
814.33611,25778
815.788764,25893
817.240766,25333
818.692114,25302
820.14281,24735
821.592854,25536
823.042246,24895
824.490986,24807
825.939075,24517
827.386514,25075
828.833301,24319
830.279438,24432
831.724925,23846
833.169762,23995
834.61395,24000
836.057488,24154
837.500378,23448
838.942619,23957
840.384212,23672
841.825156,23890
843.265453,23253
844.705102,16411
846.144105,23379
847.58246,23355
849.020169,23307
850.457231,22823
851.893648,23214
853.329418,23044
854.764544,22864
856.199024,22688
857.632859,22606
859.06605,22485
860.498597,22621
861.9305,22618
863.361759,22238
864.792374,22225
866.222347,22089
867.651677,21797
869.080364,21534
870.508409,21608
871.935812,21377
873.362574,21203
874.788694,21245
876.214173,21235
877.639011,20886
879.063209,20887
880.486766,20596
881.909684,20697
883.331962,20678
884.753601,20610
886.174601,20480
887.594961,20323
889.014684,20081
890.433768,20342
891.852214,20166
893.270023,19679
894.687194,20004
896.103729,19809
897.519626,20110
898.934887,19714
900.349512,19818
901.763501,19392
903.176854,19233
904.589572,19160
906.001655,18924
907.413103,18395
908.823917,19012
910.234096,18867
911.643642,18246
913.052554,18606
914.460832,18126
915.868477,18211
917.27549,17880
918.68187,18240
920.087618,18020
921.492734,17955
922.897218,17716
924.301071,17759
925.704292,16973
927.106883,17788
928.508844,17350
929.910174,17345
931.310874,17548
932.710944,17457
934.110385,17080
935.509197,17143
936.907379,17273
938.304934,17211
939.70186,16635
941.098158,16980
942.493828,16690
943.88887,16987
945.283286,16594
946.677075,16748
948.070236,17115
949.462772,16405
950.854681,16610
952.245965,16658
953.636623,16677
955.026656,16722
956.416064,16419
957.804847,16595
959.193006,16440
960.58054,16313
961.967451,16235
963.353738,16328
964.739402,16510
966.124442,16202
967.50886,16221
968.892656,16058
970.275829,15869
971.65838,16380
973.04031,16376
974.421618,15717
975.802305,16203
977.182371,15885
978.561816,15885
979.940641,15856
981.318846,16025
982.696432,15640
984.073398,15493
985.449744,15861
986.825472,15726
988.200581,15699
989.575072,15827
990.948944,16031
992.322199,15781
993.694836,16071
995.066855,15742
996.438258,15986
997.809044,15978
999.179213,15943
1000.548766,15844
1001.917703,15630
1003.286024,15663
1004.65373,15665
1006.020821,15546
1007.387297,15670
1008.753158,15081
1010.118405,12798
1011.483038,15353
1012.847057,15480
1014.210462,15482
1015.573254,15377
1016.935433,15301
1018.296999,15315
1019.657953,15475
1021.018295,15270
1022.378025,15055
1023.737143,15337
1025.095649,15294
1026.453544,15034
1027.810829,15366
1029.167503,15330
1030.523566,15067
1031.87902,14997
1033.233863,15261
1034.588097,14820
1035.941722,14915
1037.294738,14728
1038.647145,14897
1039.998943,15083
1041.350133,15274
1042.700716,14638
1044.05069,15007
1045.400057,14577
1046.748817,15162
1048.09697,14720
1049.444516,15011
1050.791456,15068
1052.13779,15153
1053.483518,14799
1054.82864,15443
1056.173157,15146
1057.517069,15424
1058.860376,15073
1060.203079,15240
1061.545177,15502
1062.886671,15284
1064.227562,15550
1065.567848,15395
1066.907532,14890
1068.246613,15262
1069.585091,15241
1070.922966,14863
1072.260239,14892
1073.596911,14877
1074.93298,14628
1076.268448,14781
1077.603315,14248
1078.937581,14627
1080.271247,14819
1081.604312,14478
1082.936776,14393
1084.268641,14164
1085.599907,14324
1086.930573,14288
1088.260639,14331
1089.590107,14273
1090.918977,14117
1092.247248,14116
1093.574921,14015
1094.901996,14026
1096.228474,14173
1097.554354,14259
1098.879637,14191
1100.204323,14248
1101.528413,14303
1102.851907,14209
1104.174804,14270
1105.497106,13952
1106.818812,14152
1108.139923,13898
1109.460439,14355
1110.78036,14339
1112.099687,14271
1113.41842,14114
1114.736558,14463
1116.054103,14028
1117.371054,14140
1118.687412,14106
1120.003177,14210
1121.318349,14352
1122.632929,14179
1123.946916,14160
1125.260312,14274
1126.573116,14049
1127.885328,13890
1129.196949,13902
1130.507979,13901
1131.818419,13727
1133.128268,13839
1134.437527,13742
1135.746195,13484
1137.054275,13609
1138.361764,13338
1139.668665,13142
1140.974976,13136
1142.280699,13228
1143.585833,13133
1144.890379,13274
1146.194337,12933
1147.497708,12968
1148.800491,13333
1150.102687,13009
1151.404295,12870
1152.705318,13049
1154.005753,12819
1155.305603,12871
1156.604866,12995
1157.903544,12771
1159.201636,12769
1160.499143,12754
1161.796065,12556
1163.092402,12692
1164.388155,12764
1165.683324,12399
1166.977908,12877
1168.271909,12915
1169.565326,12756
1170.85816,12823
1172.150411,12934
1173.44208,12845
1174.733165,12802
1176.023669,12604
1177.31359,12756
1178.60293,12577
1179.891688,12905
1181.179865,12713
1182.467461,12799
1183.754476,12756
1185.04091,13091
1186.326765,12945
1187.612039,12899
1188.896733,12808
1190.180848,12988
1191.464383,13112
1192.747339,12873
1194.029717,12742
1195.311515,12872
1196.592736,12586
1197.873378,12954
1199.153442,12907
1200.432929,12920
1201.711838,13110
1202.990171,12992
1204.267926,12637
1205.545105,12818
1206.821707,13004
1208.097733,12838
1209.373183,12800
1210.648057,12679
1211.922356,12902
1213.196079,12807
1214.469228,12699
1215.741802,12874
1217.013801,12980
1218.285226,12562
1219.556077,12574
1220.826355,12786
1222.096058,12749
1223.365189,12765
1224.633746,12860
1225.90173,12439
1227.169142,12618
1228.435982,12637
1229.702249,12567
1230.967945,12558
1232.233069,11934
1233.497621,12621
1234.761602,12023
1236.025013,12384
1237.287852,11977
1238.550121,12228
1239.81182,12431
1241.072949,12212
1242.333509,11773
1243.593498,11999
1244.852919,12164
1246.11177,11958
1247.370053,12317
1248.627767,12087
1249.884912,12072
1251.14149,12262
1252.397499,12161
1253.652942,12063
1254.907816,12290
1256.162124,12058
1257.415864,12521
1258.669038,12173
1259.921646,12400
1261.173687,12479
1262.425162,12186
1263.676071,12491
1264.926415,12545
1266.176194,12564
1267.425408,12444
1268.674056,12238
1269.92214,12336
1271.16966,12613
1272.416616,12371
1273.663008,12570
1274.908836,12231
1276.1541,12150
1277.398802,12451
1278.64294,12198
1279.886516,12455
1281.129529,12194
1282.37198,12477
1283.613869,11916
1284.855196,12339
1286.095962,12082
1287.336166,11921
1288.575809,12163
1289.814891,11894
1291.053413,11938
1292.291374,11959
1293.528775,11975
1294.765616,12190
1296.001897,11944
1297.237618,11791
1298.472781,11876
1299.707384,12042
1300.941428,11691
1302.174914,11863
1303.407842,11618
1304.640211,12096
1305.872022,12118
1307.103276,11694
1308.333972,12080
1309.564111,11778
1310.793693,11820
1312.022719,12004
1313.251187,12150
1314.4791,11806
1315.706456,12093
1316.933256,12087
1318.159501,11952
1319.38519,12225
1320.610324,12292
1321.834903,12049
1323.058928,12070
1324.282398,11925
1325.505313,11911
1326.727675,12139
1327.949482,12105
1329.170736,11836
1330.391437,11973
1331.611584,11802
1332.831179,11970
1334.050221,11941
1335.26871,11829
1336.486647,12051
1337.704032,11775
1338.920865,11865
1340.137147,12101
1341.352877,11631
1342.568056,11986
1343.782684,11718
1344.996761,11499
1346.210288,11685
1347.423265,11412
1348.635691,11456
1349.847568,11716
1351.058895,11398
1352.269673,11259
1353.479901,11264
1354.689581,11205
1355.898712,11026
1357.107294,11251
1358.315329,11296
1359.522815,11561
1360.729753,10953
1361.936144,11442
1363.141987,11454
1364.347283,11271
1365.552032,10945
1366.756235,11231
1367.959891,11305
1369.163,11158
1370.365564,11126
1371.567582,11249
1372.769054,11310
1373.96998,11161
1375.170362,11478
1376.370198,11216
1377.56949,11203
1378.768237,10914
1379.96644,10919
1381.164099,10986
1382.361214,11120
1383.557785,11010
1384.753813,11508
1385.949297,10788
1387.144239,10823
1388.338637,11093
1389.532493,11124
1390.725807,10763
1391.918579,10742
1393.110808,10762
1394.302496,10919
1395.493643,10750
1396.684248,11022
1397.874312,10705
1399.063835,10601
1400.252818,10640
1401.44126,10518
1402.629162,10789
1403.816524,10407
1405.003346,10485
1406.189629,10652
1407.375372,10764
1408.560576,10527
1409.745241,10474
1410.929368,10593
1412.112956,10547
1413.296006,10560
1414.478517,10634
1415.660491,10381
1416.841927,10313
1418.022826,10348
1419.203188,10067
1420.383012,10477
1421.5623,10431
1422.741051,10445
1423.919266,10379
1425.096945,10498
1426.274088,10627
1427.450695,10426
1428.626766,10105
1429.802302,10372
1430.977303,10414
1432.15177,10438
1433.325701,10220
1434.499098,10471
1435.671961,10137
1436.84429,10490
1438.016085,10425
1439.187347,10325
1440.358075,10444
1441.528269,10395
1442.697931,10384
1443.86706,10337
1445.035657,10055
1446.203721,10157
1447.371253,10180
1448.538253,10119
1449.704721,10087
1450.870658,10350
1452.036064,10247
1453.200938,9736
1454.365282,9920
1455.529094,10190
1456.692377,10149
1457.855129,9756
1459.017351,10125
1460.179043,9732
1461.340206,10036
1462.500839,9899
1463.660943,10031
1464.820517,9749
1465.979563,9707
1467.138081,-27
1468.29607,9598
1469.453531,9634
1470.610464,9601
1471.766869,9468
1472.922746,9450
1474.078096,9525
1475.232919,9719
1476.387215,9743
1477.540985,9545
1478.694227,9542
1479.846944,9763
1480.999134,9552
1482.150798,9492
1483.301937,9411
1484.45255,9530
1485.602637,9512
1486.7522,9673
1487.901238,9615
1489.049751,9796
1490.197739,9608
1491.345203,9681
1492.492144,9597
1493.63856,9522
1494.784452,9400
1495.929821,9559
1497.074667,9765
1498.21899,9507
1499.36279,9821
1500.506067,9626
1501.648821,9724
1502.791054,9797
1503.932764,9672
1505.073953,9409
1506.21462,9772
1507.354765,9603
1508.494389,9605
1509.633492,9535
1510.772074,9933
1511.910136,9591
1513.047677,9840
1514.184698,9751
1515.321198,9692
1516.457179,9755
1517.592641,9946
1518.727582,9833
1519.862005,9788
1520.995909,9767
1522.129293,9972
1523.262159,9656
1524.394507,10031
1525.526336,9816
1526.657647,10276
1527.788441,9781
1528.918717,10151
1530.048475,10044
1531.177716,9744
1532.30644,10194
1533.434647,9921
1534.562338,10218
1535.689512,10351
1536.816169,10275
1537.942311,10510
1539.067937,10815
1540.193047,10636
1541.317642,10438
1542.441721,10554
1543.565285,10554
1544.688335,10554
1545.81087,10552
1546.93289,10794
1548.054396,10767
1549.175388,10773
1550.295866,10703
1551.41583,10811
1552.535281,10955
1553.654218,10830
1554.772643,11147
1555.890554,10970
1557.007953,11188
1558.124839,10914
1559.241213,11171
1560.357075,11228
1561.472424,10923
1562.587262,11293
1563.701589,11237
1564.815404,11254
1565.928708,11533
1567.041501,11350
1568.153783,11567
1569.265555,12099
1570.376816,12381
1571.487567,11449
1572.597808,11702
1573.707539,11652
1574.816761,11938
1575.925473,11845
1577.033676,11927
1578.14137,11906
1579.248555,12121
1580.355231,11810
1581.461399,11861
1582.567059,12006
1583.672211,12016
1584.776854,12069
1585.88099,12678
1586.984619,12571
1588.08774,12046
1589.190354,11998
1590.292462,12861
1591.394062,12972
1592.495156,13088
1593.595744,13055
1594.695825,13508
1595.795401,13347
1596.89447,13454
1597.993034,13474
1599.091093,13678
1600.188647,13818
1601.285695,14012
1602.382239,13989
1603.478278,14145
1604.573812,13990
1605.668843,14580
1606.763369,14270
1607.857391,14773
1608.95091,14669
1610.043925,14985
1611.136437,14998
1612.228446,15310
1613.319952,15457
1614.410955,15555
1615.501455,15683
1616.591453,15557
1617.680949,15663
1618.769943,15965
1619.858435,15918
1620.946426,16134
1622.033915,16419
1623.120903,16404
1624.20739,16547
1625.293376,16615
1626.378861,16470
1627.463845,16470
1628.54833,16971
1629.632314,16756
1630.715799,16826
1631.798783,16816
1632.881268,17074
1633.963254,16870
1635.04474,16412
1636.125728,16812
1637.206216,16921
1638.286206,16780
1639.365698,16808
1640.444691,16641
1641.523187,16577
1642.601184,16363
1643.678683,16804
1644.755686,16658
1645.83219,16231
1646.908198,16345
1647.983708,16566
1649.058722,16089
1650.133239,16155
1651.20726,16458
1652.280785,16137
1653.353813,16221
1654.426346,15969
1655.498383,15882
1656.569924,15477
1657.64097,15821
1658.711521,15569
1659.781577,15339
1660.851139,15018
1661.920205,14951
1662.988777,15175
1664.056855,14805
1665.124439,14846
1666.191529,14502
1667.258126,14370
1668.324229,14256
1669.389838,14233
1670.454955,14106
1671.519578,13845
1672.583709,13983
1673.647347,13355
1674.710493,13293
1675.773147,12869
1676.835308,12871
1677.896978,12694
1678.958155,12270
1680.018842,12201
1681.079037,12029
1682.138741,11882
1683.197954,11735
1684.256676,11470
1685.314908,11187
1686.372649,10825
1687.4299,10892
1688.48666,10850
1689.542931,10534
1690.598713,10008
1691.654004,10211
1692.708807,10126
1693.76312,10093
1694.816944,9736
1695.870279,9907
1696.923126,9542
1697.975484,9237
1699.027354,9531
1700.078736,9073
1701.12963,9206
1702.180036,9106
1703.229955,9211
1704.279386,8958
1705.32833,8617
1706.376787,8531
1707.424757,8326
1708.47224,8574
1709.519237,8295
1710.565748,8089
1711.611772,8214
1712.65731,7800
1713.702363,8035
1714.74693,7800
1715.791011,7619
1716.834608,7488
1717.877719,7490
1718.920345,6824
1719.962486,7202
1721.004143,6992
1722.045316,6889
1723.086004,6862
1724.126208,6798
1725.165929,6696
1726.205165,6391
1727.243918,6577
1728.282188,6502
1729.319975,6565
1730.357278,6467
1731.394099,6314
1732.430437,6209
1733.466293,6080
1734.501666,6139
1735.536557,6150
1736.570967,6227
1737.604894,5617
1738.63834,5980
1739.671304,5792
1740.703787,5705
1741.735789,5576
1742.767311,5555
1743.798351,5523
1744.828911,5336
1745.85899,5581
1746.888589,5305
1747.917708,5272
1748.946348,5234
1749.974507,5478
1751.002187,5131
1752.029388,5231
1753.056109,4995
1754.082351,5003
1755.108115,5025
1756.1334,4928
1757.158206,4722
1758.182534,4832
1759.206384,4886
1760.229755,4851
1761.252649,4589
1762.275065,4678
1763.297004,4745
1764.318466,4409
1765.33945,4742
1766.359957,4159
1767.379988,4663
1768.399542,4255
1769.418619,4507
1770.43722,4187
1771.455345,4194
1772.472994,3936
1773.490167,4110
1774.506865,3794
1775.523087,3998
1776.538834,3941
1777.554106,3727
1778.568902,4128
1779.583224,4014
1780.597072,3694
1781.610444,3929
1782.623343,3772
1783.635768,3910
1784.647718,3821
1785.659195,3727
1786.670198,3573
1787.680728,3717
1788.690784,3807
1789.700368,3867
1790.709478,3688
1791.718116,3705
1792.726281,3577
1793.733973,3712
1794.741194,3720
1795.747942,3790
1796.754218,3523
1797.760023,3523
1798.765356,3668
1799.770217,3712
1800.774607,3709
1801.778526,3432
1802.781974,3580
1803.784952,3670
1804.787458,3601
1805.789495,3409
1806.791061,3397
1807.792156,3434
1808.792782,3472
1809.792938,3493
1810.792625,3137
1811.791842,3643
1812.79059,3400
1813.788868,3427
1814.786678,3435
1815.784019,3485
1816.780891,3472
1817.777295,3526
1818.77323,3448
1819.768697,3298
1820.763697,3067
1821.758228,3356
1822.752292,3535
1823.745888,3331
1824.739017,3251
1825.731679,3268
1826.723874,3458
1827.715602,3180
1828.706863,3048
1829.697658,3088
1830.687986,3168
1831.677848,3381
1832.667244,3076
1833.656175,3266
1834.644639,3044
1835.632638,3175
1836.620172,3297
1837.60724,2956
1838.593844,3400
1839.579982,3182
1840.565656,3124
1841.550865,3191
1842.53561,3388
1843.51989,3099
1844.503706,3074
1845.487059,3137
1846.469947,3308
1847.452372,3260
1848.434334,3214
1849.415832,2956
1850.396867,2877
1851.377439,3227
1852.357549,2759
1853.337195,3230
1854.31638,2825
1855.295101,3291
1856.273361,3042
1857.251159,3078
1858.228494,3248
1859.205369,3061
1860.181781,2962
1861.157732,2660
1862.133222,3047
1863.108251,2970
1864.082819,3013
1865.056926,2864
1866.030573,2804
1867.003759,3186
1867.976485,2844
1868.948751,2967
1869.920556,2984
1870.891902,2817
1871.862789,2560
1872.833216,2832
1873.803183,3128
1874.772691,2742
1875.741741,2635
1876.710331,2769
1877.678463,2793
1878.646136,2878
1879.613351,2750
1880.580108,2670
1881.546406,2687
1882.512247,2705
1883.47763,2487
1884.442555,2801
1885.407023,2850
1886.371033,2884
1887.334586,2767
1888.297683,2548
1889.260322,2641
1890.222505,2766
1891.184231,2681
1892.145501,2688
1893.106315,2722
1894.066673,2795
1895.026574,2856
1895.98602,2655
1896.945011,2718
1897.903546,2582
1898.861626,2602
1899.81925,2884
1900.77642,2648
1901.733135,2782
1902.689395,2734
1903.6452,2730
1904.600551,2670
1905.555448,2739
1906.509891,2794
1907.46388,2664
1908.417416,2643
1909.370498,2941
1910.323126,2640
1911.275301,2440
1912.227023,2662
1913.178292,2660
1914.129108,2645
1915.079471,2583
1916.029382,2953
1916.97884,2608
1917.927846,2518
1918.876401,2553
1919.824503,2852
1920.772153,2785
1921.719352,2611
1922.6661,2517
1923.612396,1925
1924.558241,2729
1925.503635,2707
1926.448578,2502
1927.39307,2663
1928.337112,2619
1929.280703,2537
1930.223844,2672
1931.166535,2891
1932.108776,2774
1933.050568,2668
1933.991909,2891
1934.932801,2796
1935.873244,2680
1936.813238,2992
1937.752782,2844
1938.691878,2612
1939.630525,2841
1940.568723,2705
1941.506473,2884
1942.443774,2755
1943.380627,2820
1944.317033,3125
1945.25299,3007
1946.1885,2891
1947.123562,2908
1948.058177,2811
1948.992344,2677
1949.926065,2640
1950.859338,2688
1951.792165,2609
1952.724545,3076
1953.656478,2709
1954.587965,2989
1955.519006,2735
1956.4496,2759
1957.379749,2728
1958.309452,2885
1959.238709,2799
1960.167521,3058
1961.095888,2724
1962.023809,2635
1962.951285,2883
1963.878317,2960
1964.804903,2632
1965.731045,2513
1966.656743,2736
1967.581996,2816
1968.506805,2661
1969.43117,2843
1970.355091,2717
1971.278568,2782
1972.201602,2601
1973.124192,2859
1974.046339,2896
1974.968043,2773
1975.889304,2730
1976.810122,2695
1977.730498,2664
1978.65043,2975
1979.569921,2921
1980.488969,2931
1981.407574,2836
1982.325738,2929
1983.24346,2700
1984.160741,2877
1985.077579,2384
1985.993977,2439
1986.909933,2791
1987.825448,2721
1988.740522,2657
1989.655155,2746
1990.569347,3020
1991.483099,2836
1992.396411,2767
1993.309282,2743
1994.221713,2835
1995.133704,2929
1996.045256,5798
1996.956367,3228
1997.867039,2810
1998.777272,2724
1999.687065,3063
2000.596419,3006
2001.505335,3018
2002.413811,2953
2003.321849,2818
2004.229448,2896
2005.136609,2872
2006.043331,2842
2006.949616,2895
2007.855462,3088
2008.760871,2975
2009.665841,2882
2010.570375,2712
2011.47447,3038
2012.378129,3084
2013.281351,3088
2014.184135,2714
2015.086483,2947
2015.988393,3042
2016.889868,2770
2017.790906,3040
2018.691507,3053
2019.591673,3120
2020.491402,2983
2021.390695,2857
2022.289553,2815
2023.187975,3053
2024.085962,3055
2024.983514,2884
2025.88063,2993
2026.777311,3084
2027.673557,3037
2028.569369,2694
2029.464746,3010
2030.359688,2883
2031.254197,2974
2032.148271,2981
2033.04191,2983
2033.935116,3299
2034.827889,3144
2035.720227,2975
2036.612132,2721
2037.503604,3036
2038.394642,2984
2039.285248,3057
2040.17542,3028
2041.06516,2965
2041.954466,2900
2042.843341,3091
2043.731783,2999
2044.619792,3032
2045.50737,2913
2046.394516,3010
2047.281229,2920
2048.167511,3022
2049.053362,2927
2049.938781,2987
2050.823768,2965
2051.708325,2740
2052.59245,3005
2053.476145,3106
2054.359409,2830
2055.242242,2917
2056.124645,3147
2057.006617,2963
2057.888159,2910
2058.769271,2749
2059.649953,3117
2060.530206,2656
2061.410028,2906
2062.289421,2820
2063.168385,3043
2064.046919,2963
2064.925025,3047
2065.802701,3014
2066.679949,2891
2067.556767,2830
2068.433157,2996
2069.309119,2856
2070.184652,2810
2071.059758,2974
2071.934435,2935
2072.808684,2902
2073.682505,2981
2074.555899,3001
2075.428865,2906
2076.301404,2894
