Wave shift,Intensity
442.849318,39150
444.469283,32131
446.088516,38052
447.707018,33450
449.324789,28819
450.941829,36091
452.558139,32674
454.173719,38860
455.78857,8183
457.402691,37072
459.016083,39226
460.628747,38623
462.240682,40032
463.85189,39860
465.46237,37074
467.072124,40125
468.68115,32290
470.28945,40220
471.897024,34542
473.503872,34839
475.109995,40597
476.715393,35789
478.320066,40772
479.924015,34945
481.52724,37104
483.129741,36193
484.731519,33513
486.332575,39318
487.932907,28117
489.532517,37950
491.131406,31785
492.729573,31635
494.327019,37411
495.923744,37665
497.519748,29749
499.115033,36163
500.709597,39752
502.303442,38848
503.896568,37227
505.488976,35571
507.080665,39014
508.671635,38604
510.261889,29980
511.851424,37174
513.440243,33594
515.028345,38785
516.615731,39556
518.202401,37736
519.788355,35677
521.373593,42655
522.958117,36429
524.541926,29966
526.125021,36894
527.707402,30799
529.28907,37660
530.870024,26081
532.450265,31063
534.029794,36181
535.60861,35240
537.186715,42524
538.764108,33061
540.340789,30446
541.91676,39323
543.492021,40046
545.066571,34086
546.640411,35453
548.213542,32339
549.785964,31828
551.357676,40619
552.928681,35915
554.498977,44817
556.068565,33082
557.637446,41576
559.20562,44450
560.773087,40652
562.339847,36775
563.905901,34215
565.47125,32778
567.035893,31709
568.599831,33032
570.163064,37504
571.725593,37082
573.287417,38253
574.848538,42087
576.408955,36138
577.968669,33838
579.52768,36681
581.085989,32103
582.643596,39908
584.200501,37587
585.756704,32867
587.312207,42701
588.867008,39400
590.42111,39464
591.974511,34890
593.527212,35942
595.079214,31275
596.630516,39434
598.18112,40064
599.731025,25351
601.280232,36567
602.828742,39754
604.376554,37387
605.923668,39370
607.470086,33792
609.015808,41822
610.560833,36897
612.105162,39310
613.648796,36299
615.191735,35424
616.733979,33775
618.275528,43687
619.816383,33073
621.356544,31804
622.896012,37918
624.434787,39166
625.972868,33666
627.510257,34435
629.046954,39278
630.582959,33713
632.118272,33879
633.652894,41401
635.186825,37788
636.720066,38143
638.252616,33849
639.784476,40744
641.315647,31791
642.846128,30392
644.37592,33566
645.905024,33739
647.433439,28700
648.961166,41080
650.488206,40877
652.014558,31533
653.540223,33084
655.065201,36154
656.589493,38108
658.113099,35730
659.636019,35963
661.158253,35396
662.679803,38625
664.200668,36430
665.720848,39266
667.240344,38898
668.759156,35420
670.277284,35065
671.79473,38437
673.311492,36241
674.827572,38142
676.34297,37962
677.857686,34347
679.37172,37845
680.885072,28845
682.397744,35991
683.909735,37209
685.421046,34612
686.931677,36489
688.441628,31407
689.950899,36681
691.459492,36163
692.967406,36613
694.474641,36224
695.981198,36502
697.487078,17692
698.992279,36220
700.496804,36081
702.000652,36209
703.503823,30245
705.006318,30978
706.508137,35702
708.00928,32805
709.509748,36169
711.009541,35531
712.50866,35674
714.007104,31976
715.504874,30525
717.00197,35325
718.498393,35162
719.994142,35382
721.489219,35095
722.983624,34165
724.477356,35069
