Waveshift,Intensity
449.324789,28534
450.941829,35581
452.558139,31972
454.173719,38412
455.78857,6715
457.402691,36664
459.016083,38494
460.628747,38319
462.240682,39499
463.85189,39399
465.46237,36377
467.072124,39528
468.68115,31587
470.28945,39771
471.897024,33811
473.503872,34116
475.109995,39991
476.715393,35297
478.320066,40613
479.924015,34747
481.52724,36551
483.129741,35747
484.731519,33200
486.332575,38784
487.932907,27183
489.532517,37709
491.131406,30929
492.729573,31035
494.327019,37073
495.923744,37219
497.519748,28916
499.115033,35774
500.709597,39617
502.303442,38256
503.896568,36727
505.488976,35045
507.080665,38652
508.671635,37796
510.261889,29075
511.851424,36669
513.440243,33078
515.028345,38307
516.615731,39385
518.202401,37097
519.788355,35264
521.373593,42344
522.958117,35867
524.541926,29510
526.125021,36754
527.707402,29995
529.28907,37151
530.870024,25401
532.450265,30600
534.029794,35556
535.60861,34577
537.186715,42275
538.764108,32606
540.340789,29727
541.91676,38887
543.492021,39636
545.066571,33229
546.640411,35270
548.213542,32177
549.785964,31219
551.357676,40247
552.928681,35544
554.498977,44167
556.068565,32502
557.637446,41501
559.20562,44111
560.773087,40373
562.339847,35919
563.905901,33570
565.47125,32152
567.035893,31012
568.599831,32428
570.163064,36883
571.725593,36412
573.287417,37745
574.848538,41877
576.408955,36011
577.968669,33653
579.52768,36165
581.085989,31734
582.643596,39482
584.200501,37077
585.756704,32182
587.312207,40616
588.867008,38860
590.42111,38990
591.974511,34170
593.527212,35290
595.079214,30652
596.630516,38977
598.18112,39304
599.731025,24546
601.280232,36172
602.828742,38937
604.376554,36876
605.923668,38851
607.470086,33022
609.015808,39726
610.560833,36216
612.105162,38951
613.648796,35891
615.191735,34942
616.733979,33284
618.275528,38683
619.816383,32563
621.356544,31327
622.896012,37330
624.434787,37776
625.972868,33183
627.510257,33357
629.046954,37726
630.582959,33024
632.118272,33437
633.652894,37367
635.186825,36968
636.720066,37051
638.252616,33285
639.784476,36751
641.315647,31152
642.846128,29502
644.37592,32748
645.905024,33190
647.433439,27965
648.961166,35877
650.488206,36145
652.014558,30959
653.540223,32422
655.065201,35692
656.589493,35500
658.113099,35051
659.636019,35249
661.158253,34820
662.679803,34849
664.200668,34681
665.720848,34760
667.240344,34630
668.759156,34388
670.277284,34532
671.79473,34208
673.311492,34054
674.827572,33819
676.34297,33590
677.857686,33421
679.37172,33482
680.885072,28368
682.397744,33107
683.909735,33220
685.421046,32898
686.931677,32815
688.441628,30799
689.950899,32591
691.459492,32756
692.967406,32813
694.474641,32137
695.981198,32210
697.487078,16664
698.992279,32179
700.496804,31764
702.000652,31688
703.503823,29372
705.006318,30131
706.508137,31437
708.00928,31528
709.509748,31679
711.009541,31332
712.50866,30966
714.007104,31095
715.504874,29726
717.00197,31057
718.498393,31124
719.994142,30983
721.489219,30718
722.983624,31048
724.477356,31074
725.970416,29296
727.462805,30369
728.954522,30755
