Waveshift,Intensity
780.744134,27962
782.21189,27645
783.678987,27864
785.145425,27105
786.611203,27355
788.076322,27320
789.540782,27102
791.004583,26724
792.467727,26824
793.930213,26519
795.392041,25917
796.853212,25887
798.313726,26032
799.773584,25672
801.232785,25719
802.69133,25534
804.14922,24897
805.606454,24746
807.063032,25214
808.518956,24761
809.974226,24910
811.428841,24626
812.882802,24556
814.33611,24465
815.788764,24272
817.240766,23716
818.692114,23681
820.14281,23645
821.592854,23732
823.042246,23850
824.490986,23437
825.939075,23192
827.386514,23472
828.833301,23086
830.279438,23058
831.724925,22812
833.169762,22739
834.61395,22603
836.057488,22832
837.500378,22062
838.942619,22693
840.384212,22627
841.825156,22671
843.265453,22655
844.705102,17882
846.144105,22330
847.58246,22161
849.020169,21907
850.457231,22123
851.893648,21832
853.329418,21837
854.764544,21520
856.199024,21587
857.632859,21529
859.06605,21297
860.498597,21282
861.9305,21389
863.361759,21131
864.792374,20916
866.222347,21256
867.651677,20679
869.080364,20536
870.508409,20921
871.935812,20578
873.362574,20350
874.788694,20157
876.214173,20000
877.639011,19914
879.063209,19985
880.486766,19982
881.909684,20032
883.331962,19546
884.753601,19769
886.174601,19878
887.594961,19804
889.014684,19511
890.433768,19422
891.852214,19782
893.270023,19163
894.687194,19581
896.103729,19301
897.519626,18826
898.934887,18987
900.349512,18939
901.763501,19030
903.176854,18654
904.589572,18335
906.001655,18239
907.413103,17961
908.823917,17961
910.234096,17787
911.643642,18391
913.052554,17835
914.460832,17564
915.868477,17782
917.27549,17491
918.68187,17425
920.087618,17461
921.492734,16981
922.897218,16923
924.301071,16819
925.704292,16752
927.106883,16748
928.508844,16432
929.910174,16417
931.310874,16309
932.710944,16315
934.110385,16350
935.509197,16087
936.907379,16424
938.304934,16260
939.70186,16081
941.098158,15483
942.493828,15801
943.88887,15589
945.283286,15518
946.677075,15688
948.070236,15755
949.462772,15714
950.854681,15514
952.245965,15709
953.636623,15573
955.026656,15637
956.416064,15392
957.804847,15622
959.193006,15406
960.58054,15234
961.967451,15206
963.353738,14880
964.739402,15580
966.124442,15081
967.50886,15108
968.892656,15189
970.275829,14977
971.65838,15260
973.04031,15040
974.421618,15135
975.802305,15062
977.182371,14928
978.561816,14921
979.940641,15257
981.318846,15305
982.696432,15077
984.073398,14686
985.449744,14744
986.825472,14990
988.200581,14874
989.575072,15280
990.948944,15079
992.322199,14897
993.694836,15103
995.066855,14815
996.438258,15018
997.809044,14995
999.179213,14830
1000.548766,14519
1001.917703,15215
1003.286024,14730
1004.65373,14929
1006.020821,14911
1007.387297,14889
1008.753158,15025
1010.118405,14830
1011.483038,14782
1012.847057,14827
1014.210462,15006
1015.573254,14626
1016.935433,14704
1018.296999,14983
1019.657953,14701
1021.018295,14744
1022.378025,14566
1023.737143,14742
1025.095649,14487
1026.453544,14674
1027.810829,14603
1029.167503,14288
1030.523566,14558
1031.87902,14415
1033.233863,14961
1034.588097,14437
1035.941722,14599
1037.294738,14502
1038.647145,14503
1039.998943,14508
1041.350133,14682
1042.700716,14545
1044.05069,14343
1045.400057,14273
1046.748817,14756
1048.09697,14542
1049.444516,14570
1050.791456,14649
1052.13779,14546
1053.483518,14642
1054.82864,14840
1056.173157,14721
1057.517069,15068
1058.860376,15388
1060.203079,14837
1061.545177,15391
1062.886671,14848
1064.227562,14962
1065.567848,14715
1066.907532,14930
1068.246613,14921
1069.585091,14746
1070.922966,14861
1072.260239,14773
1073.596911,14332
1074.93298,14266
1076.268448,14286
1077.603315,13806
1078.937581,14390
1080.271247,14176
1081.604312,14067
1082.936776,13835
1084.268641,13724
1085.599907,13486
1086.930573,13789
1088.260639,13559
1089.590107,13755
1090.918977,13278
1092.247248,13593
1093.574921,13542
1094.901996,13795
1096.228474,13447
1097.554354,13636
1098.879637,13460
1100.204323,13622
1101.528413,13671
1102.851907,13999
1104.174804,13726
1105.497106,13670
1106.818812,13939
1108.139923,13405
1109.460439,14123
1110.78036,13686
1112.099687,14106
1113.41842,13757
