,"Scan 01114"
"400","10381.07"
"401","10379.84"
"402","10363.53"
"403","10330.67"
"404","10292.56"
"405","10264.55"
"406","10261.85"
"407","10296.68"
"408","10357.87"
"409","10422.98"
"410","10469.71"
"411","10477.51"
"412","10447.43"
"413","10395.41"
"414","10337.62"
"415","10289.79"
"416","10260.47"
"417","10251.19"
"418","10263.21"
"419","10297.63"
"420","10350.37"
"421","10410.36"
"422","10466.11"
"423","10506.23"
"424","10523.16"
"425","10516.21"
"426","10485.46"
"427","10431.01"
"428","10357.33"
"429","10279.98"
"430","10216.08"
"431","10182.65"
"432","10190.14"
"433","10227.13"
"434","10277.68"
"435","10325.93"
"436","10358.72"
"437","10374.49"
"438","10374.97"
"439","10361.86"
"440","10336.88"
"441","10301.62"
"442","10257.69"
"443","10206.65"
"444","10150.86"
"445","10098.77"
"446","10061.66"
"447","10050.77"
"448","10075.41"
"449","10126.28"
"450","10183.34"
"451","10226.59"
"452","10237.56"
"453","10216.75"
"454","10177.91"
"455","10134.98"
"456","10101.24"
"457","10080.51"
"458","10068.7"
"459","10061.51"
"460","10054.84"
"461","10048.01"
"462","10043.74"
"463","10044.85"
"464","10053.89"
"465","10066.61"
"466","10071.1"
"467","10055.13"
"468","10006.97"
"469","9930.739"
"470","9850.6"
"471","9791.85"
"472","9779.147"
"473","9814.02"
"474","9865.438"
"475","9900.097"
"476","9885.365"
"477","9816.837"
"478","9733.694"
"479","9678.647"
"480","9693.696"
"481","9787.272"
"482","9911.772"
"483","10014.52"
"484","10043.54"
"485","9980.559"
"486","9867.167"
"487","9750.896"
"488","9678.756"
"489","9672.62"
"490","9707.679"
"491","9754.141"
"492","9782.516"
"493","9776.66"
"494","9745.97"
"495","9702.682"
"496","9658.926"
"497","9621.797"
"498","9588.626"
"499","9555.626"
"500","9519.063"
"501","9477.882"
"502","9436.251"
"503","9398.922"
"504","9370.566"
"505","9350.988"
"506","9330.664"
"507","9299.063"
"508","9245.813"
"509","9169.034"
"510","9082.561"
"511","9001.848"
"512","8942.161"
"513","8909"
"514","8890.749"
"515","8874.108"
"516","8845.98"
"517","8802.921"
"518","8757.368"
"519","8723.185"
"520","8713.955"
"521","8731.648"
"522","8760.54"
"523","8783.499"
"524","8783.735"
"525","8755.682"
"526","8709.315"
"527","8655.72"
"528","8605.752"
"529","8564.277"
"530","8528.729"
"531","8496.085"
"532","8463.478"
"533","8431.966"
"534","8406.931"
"535","8393.95"
"536","8398.225"
"537","8417.297"
"538","8441.354"
"539","8460.327"
"540","8464.612"
"541","8451.502"
"542","8424.002"
"543","8385.271"
"544","8338.787"
"545","8292.294"
"546","8256.528"
"547","8242.23"
"548","8258.347"
"549","8295.948"
"550","8335.721"
"551","8358.311"
"552","8347.19"
"553","8307.668"
"554","8255.414"
"555","8206.088"
"556","8173.595"
"557","8161.418"
"558","8169.064"
"559","8196.038"
"560","8239.896"
"561","8288.913"
"562","8328.648"
"563","8344.733"
"564","8327.913"
"565","8287.282"
"566","8236.05"
"567","8187.352"
"568","8151.33"
"569","8130.031"
"570","8124.139"
"571","8134.299"
"572","8156.821"
"573","8179.124"
"574","8187.589"
"575","8168.866"
"576","8121.841"
"577","8064.144"
"578","8014.917"
"579","7992.734"
"580","8001.523"
"581","8028.518"
"582","8060.081"
"583","8083.164"
"584","8093.789"
"585","8095.617"
"586","8092.519"
"587","8088.345"
"588","8086.74"
"589","8091.228"
"590","8105.315"
"591","8131.274"
"592","8162.771"
"593","8189.79"
"594","8202.348"
"595","8193.495"
"596","8170.354"
"597","8144.142"
"598","8126.018"
"599","8123.143"
"600","8130.301"
"601","8139.922"
"602","8144.48"
"603","8140.206"
"604","8131.041"
"605","8121.867"
"606","8117.437"
"607","8117.529"
"608","8115.048"
"609","8102.42"
"610","8072.761"
"611","8032.604"
"612","8000.911"
"613","7997.052"
"614","8037.493"
"615","8107.886"
"616","8175.071"
"617","8205.745"
"618","8173.318"
"619","8093.171"
"620","7997"
"621","7916.422"
"622","7874.952"
"623","7865.554"
"624","7873.951"
"625","7885.934"
"626","7891.245"
"627","7888.649"
"628","7878.176"
"629","7859.916"
"630","7836.572"
"631","7814.571"
"632","7800.599"
