,"Scan 01124"
"400","14348.64"
"401","14309.39"
"402","14267.93"
"403","14222.27"
"404","14177.92"
"405","14142.77"
"406","14124.63"
"407","14129.65"
"408","14150.92"
"409","14175.28"
"410","14189.59"
"411","14182.01"
"412","14155.75"
"413","14124.51"
"414","14102.11"
"415","14101.73"
"416","14124.55"
"417","14160.03"
"418","14197.24"
"419","14225.47"
"420","14241.54"
"421","14252.3"
"422","14265.31"
"423","14287.96"
"424","14321.88"
"425","14358"
"426","14386.18"
"427","14396.38"
"428","14383.41"
"429","14354.09"
"430","14317.09"
"431","14280.99"
"432","14253.1"
"433","14236.54"
"434","14233.52"
"435","14246.25"
"436","14275.06"
"437","14311.87"
"438","14346.27"
"439","14367.94"
"440","14368.62"
"441","14352.18"
"442","14326.93"
"443","14301.1"
"444","14282.2"
"445","14272.35"
"446","14271.17"
"447","14278.23"
"448","14292.65"
"449","14308.59"
"450","14317.35"
"451","14310.29"
"452","14279.83"
"453","14232.3"
"454","14183.7"
"455","14150.13"
"456","14146.54"
"457","14169.95"
"458","14202.46"
"459","14225.85"
"460","14222.68"
"461","14190.44"
"462","14141.2"
"463","14087.51"
"464","14041.6"
"465","14008.29"
"466","13984.09"
"467","13965.14"
"468","13947.64"
"469","13930.64"
"470","13916.71"
"471","13908.68"
"472","13909.24"
"473","13917.24"
"474","13926.09"
"475","13928.83"
"476","13918.67"
"477","13895.4"
"478","13869.09"
"479","13850.62"
"480","13850.67"
"481","13870.45"
"482","13895.34"
"483","13909.31"
"484","13896.53"
"485","13852.77"
"486","13794.32"
"487","13739.49"
"488","13706.41"
"489","13702.82"
"490","13717.25"
"491","13736.17"
"492","13746.17"
"493","13739.84"
"494","13721.2"
"495","13695.52"
"496","13668.04"
"497","13641.54"
"498","13614"
"499","13582.87"
"500","13545.63"
"501","13501.77"
"502","13454.64"
"503","13408.04"
"504","13365.71"
"505","13329.19"
"506","13295.78"
"507","13262.28"
"508","13225.58"
"509","13184.49"
"510","13141.47"
"511","13099.33"
"512","13060.88"
"513","13027.21"
"514","12996.5"
"515","12966.63"
"516","12935.52"
"517","12903.87"
"518","12876.92"
"519","12860.31"
"520","12859.55"
"521","12873.34"
"522","12890.1"
"523","12897.42"
"524","12883.17"
"525","12845.1"
"526","12794.65"
"527","12744.22"
"528","12705.9"
"529","12683.84"
"530","12672.23"
"531","12664.71"
"532","12655.07"
"533","12641.23"
"534","12625.67"
"535","12611.08"
"536","12600.12"
"537","12595.08"
"538","12597.89"
"539","12610.45"
"540","12634.19"
"541","12662.63"
"542","12682.81"
"543","12681.6"
"544","12647.4"
"545","12587.47"
"546","12522.31"
"547","12472.55"
"548","12456.6"
"549","12470.67"
"550","12498.07"
"551","12522.01"
"552","12527.53"
"553","12513.4"
"554","12484.93"
"555","12447.46"
"556","12406.37"
"557","12367.64"
"558","12337.42"
"559","12321.84"
"560","12325.03"
"561","12341.71"
"562","12363.81"
"563","12383.34"
"564","12394.1"
"565","12396.53"
"566","12392.5"
"567","12383.9"
"568","12372.54"
"569","12360.02"
"570","12347.91"
"571","12337.76"
"572","12330.08"
"573","12323.19"
"574","12315.18"
"575","12304.18"
"576","12289.87"
"577","12274.34"
"578","12259.89"
"579","12248.78"
"580","12242.5"
"581","12241.69"
"582","12246.91"
"583","12258.66"
"584","12275.94"
"585","12296.46"
"586","12317.94"
"587","12338.14"
"588","12355.48"
"589","12368.81"
"590","12376.96"
"591","12378.8"
"592","12373.36"
"593","12359.75"
"594","12337.07"
"595","12304.77"
"596","12263.97"
"597","12216.24"
"598","12163.15"
"599","12109.31"
"600","12068.76"
"601","12057.3"
"602","12090.58"
"603","12169.46"
"604","12264.33"
"605","12341.92"
"606","12369.57"
"607","12336.65"
"608","12262.91"
"609","12170.27"
"610","12080.28"
"611","12008.29"
"612","11963.94"
"613","11956.59"
"614","11993.63"
"615","12060.85"
"616","12130.91"
"617","12176.39"
"618","12175.03"
"619","12136.88"
"620","12084.56"
"621","12040.63"
"622","12022.12"
"623","12025.08"
"624","12040.65"
"625","12059.98"
"626","12075.37"
"627","12081.78"
"628","12074.53"
"629","12049.1"
"630","12007.91"
"631","11963.24"
"632","11928.05"
"633","11914.67"
"634","11924.52"
"635","11949.35"
"636","11980.65"
"637","12010.36"
"638","12034.38"
"639","12050.77"
"640","12057.59"
"641","12053.68"
"642","12041.73"
"643","12025.58"
"644","12009.07"
"645","11994.39"
"646","11979.22"
"647","11960.43"
"648","11935.01"
"649","11905.88"
"650","11885.3"
"651","11886.37"
"652","11921.2"
"653","11983.89"
"654","12051.93"
"655","12102.27"
"656","12114.87"
"657","12096.12"
"658","12066.32"
"659","12045.84"
"660","12050.71"
"661","12077.51"
"662","12117.28"
"663","12161.12"
"664","12200.12"
"665","12225.4"
"666","12228.11"
"667","12199.73"
"668","12143.42"
"669","12077.48"
"670","12021.14"
"671","11992.36"
"672","11992.63"
"673","12011.7"
"674","12039.14"
"675","12065.14"
"676","12083.8"
"677","12090.65"
"678","12081.24"
"679","12054.18"
"680","12017.06"
"681","11979.13"
"682","11949.54"
"683","11934.35"
"684","11934.97"
"685","11952.42"
"686","11987.18"
"687","12031.28"
"688","12070.08"
"689","12088.82"
"690","12076.19"
"691","12043.26"
"692","12009.99"
"693","11996.3"
"694","12013.95"
"695","12050.26"
"696","12088.08"
"697","12110.45"
"698","12110.54"
"699","12096.18"
"700","12076.35"
"701","12059.51"
"702","12047.37"
"703","12036.74"
"704","12024.31"
"705","12007.77"
"706","11990.41"
"707","11977.47"
"708","11974.14"
"709","11983.21"
"710","12001.44"
"711","12024.67"
"712","12048.84"
"713","12071.84"
"714","12093.87"
"715","12115.25"
"716","12136.11"
"717","12154.53"
"718","12167.42"
"719","12171.73"
"720","12166.03"
"721","12155.5"
"722","12146.91"
"723","12146.96"
"724","12156.79"
"725","12168.03"
"726","12171.34"
"727","12158.21"
"728","12132.46"
"729","12107.75"
"730","12098"
"731","12113.82"
"732","12147.26"
"733","12183.86"
"734","12209.18"
"735","12215.16"
"736","12208.52"
"737","12198.05"
"738","12192.33"
"739","12194.76"
"740","12203.44"
"741","12216.24"
"742","12230.68"
"743","12241.57"
"744","12242.59"
"745","12227.39"
"746","12194.84"
"747","12158.69"
"748","12135.33"
"749","12140.67"
"750","12175.83"
"751","12224.21"
"752","12268.17"
"753","12291.71"
"754","12292.91"
"755","12277.06"
"756","12249.49"
"757","12216.66"
"758","12188.56"
"759","12175.89"
"760","12189.04"
"761","12226.31"
"762","12270.52"
"763","12303.5"
"764","12309.45"
"765","12293.91"
"766","12273.86"
"767","12266.33"
"768","12281.84"
"769","12309.89"
"770","12335.75"
"771","12345.07"
"772","12336"
"773","12322.42"
"774","12319.18"
"775","12339.16"
"776","12378.42"
"777","12424.51"
"778","12464.92"
"779","12491.21"
"780","12506.97"
"781","12517.98"
"782","12529.89"
"783","12545.08"
"784","12562.22"
"785","12579.8"
"786","12596.22"
"787","12609.36"
"788","12616.89"
"789","12616.46"
"790","12607.61"
"791","12594.44"
"792","12581.73"
"793","12574.2"
"794","12575.04"
"795","12585.97"
"796","12608.7"
"797","12643.56"
"798","12683.34"
"799","12718.2"
"800","12738.39"
"801","12739.42"
"802","12726.78"
"803","12707.08"
"804","12686.8"
"805","12671.04"
"806","12663.93"
"807","12669.55"
"808","12689.88"
"809","12718.55"
"810","12747.19"
"811","12767.53"
"812","12777.37"
"813","12782.62"
"814","12789.75"
"815","12804.35"
"816","12824.68"
"817","12845.38"
"818","12861.08"
"819","12867.03"
"820","12860.11"
"821","12837.44"
"822","12796.74"
"823","12747.08"
"824","12707.73"
"825","12698.31"
"826","12731.99"
"827","12790.08"
"828","12844.22"
"829","12866.32"
"830","12846.56"
"831","12803.86"
"832","12759.69"
"833","12734.09"
"834","12733.96"
"835","12758.89"
"836","12808.45"
"837","12877.51"
"838","12948.23"
"839","13000.6"
"840","13015.58"
"841","12993.93"
"842","12954.67"
"843","12917.48"
"844","12898.39"
"845","12895.85"
"846","12903.02"
"847","12913.1"
"848","12921.92"
"849","12929.2"
"850","12934.96"
"851","12939.6"
"852","12946.53"
"853","12960.66"
"854","12986.91"
"855","13025.25"
"856","13063.95"
"857","13089.63"
"858","13089.77"
"859","13065.13"
"860","13026.74"
"861","12985.89"
"862","12953.58"
"863","12939.7"
"864","12953.88"
"865","13005.18"
"866","13086.1"
"867","13170"
