,"Scan 01131"
"400","8638.51"
"401","8680.891"
"402","8693.152"
"403","8658.617"
"404","8593.725"
"405","8525.451"
"406","8480.57"
"407","8482.208"
"408","8525.314"
"409","8591.302"
"410","8661.631"
"411","8718.537"
"412","8752.679"
"413","8760.591"
"414","8738.959"
"415","8685.034"
"416","8608.391"
"417","8530.601"
"418","8473.587"
"419","8458.68"
"420","8488.522"
"421","8540.658"
"422","8591.018"
"423","8615.822"
"424","8604.215"
"425","8568.928"
"426","8525.153"
"427","8487.967"
"428","8468.882"
"429","8470.688"
"430","8494.82"
"431","8542.704"
"432","8611.177"
"433","8681.592"
"434","8732.144"
"435","8741.188"
"436","8694.429"
"437","8610.322"
"438","8516.445"
"439","8440.183"
"440","8404.228"
"441","8404.255"
"442","8426.039"
"443","8455.44"
"444","8479.56"
"445","8494.57"
"446","8500.887"
"447","8498.942"
"448","8489.374"
"449","8474.914"
"450","8459.493"
"451","8447.03"
"452","8441.156"
"453","8441.997"
"454","8447.228"
"455","8454.489"
"456","8461.416"
"457","8465.287"
"458","8463.094"
"459","8451.832"
"460","8428.795"
"461","8397.207"
"462","8366.076"
"463","8344.592"
"464","8341.509"
"465","8354.846"
"466","8370.634"
"467","8374.364"
"468","8351.994"
"469","8303.794"
"470","8248.104"
"471","8204.322"
"472","8191.391"
"473","8212.802"
"474","8250.273"
"475","8283.999"
"476","8294.512"
"477","8275.547"
"478","8241.231"
"479","8207.359"
"480","8189.512"
"481","8194.412"
"482","8214.01"
"483","8238.898"
"484","8259.756"
"485","8270.237"
"486","8269.248"
"487","8256.236"
"488","8230.68"
"489","8194.55"
"490","8154.46"
"491","8117.498"
"492","8090.669"
"493","8076.013"
"494","8066.063"
"495","8052.307"
"496","8026.318"
"497","7984.047"
"498","7929.931"
"499","7869.364"
"500","7807.711"
"501","7750.243"
"502","7702.073"
"503","7668.281"
"504","7653.858"
"505","7658.201"
"506","7669.996"
"507","7676.782"
"508","7666.236"
"509","7633.013"
"510","7584.609"
"511","7529.876"
"512","7477.588"
"513","7434.229"
"514","7402.279"
"515","7383.802"
"516","7380.786"
"517","7390.457"
"518","7402.198"
"519","7404.711"
"520","7386.915"
"521","7346.857"
"522","7296.488"
"523","7248.862"
"524","7216.794"
"525","7205.178"
"526","7207.939"
"527","7218.223"
"528","7229.302"
"529","7237.402"
"530","7242.437"
"531","7244.554"
"532","7243.894"
"533","7240.557"
"534","7234.593"
"535","7226.053"
"536","7214.967"
"537","7200.966"
"538","7183.302"
"539","7161.215"
"540","7134.043"
"541","7102.747"
"542","7069.631"
"543","7037.027"
"544","7007.352"
"545","6984.19"
"546","6971.961"
"547","6975.069"
"548","6997.136"
"549","7033.874"
"550","7076.403"
"551","7115.838"
"552","7143.933"
"553","7157.322"
"554","7154.954"
"555","7135.804"
"556","7100.376"
"557","7058.597"
"558","7023.95"
"559","7009.854"
"560","7025.301"
"561","7058.462"
"562","7091.38"
"563","7106.18"
"564","7090.83"
"565","7054.223"
"566","7009.948"
"567","6971.523"
"568","6948.73"
"569","6941.244"
"570","6947.044"
"571","6964.107"
"572","6988.694"
"573","7013.556"
"574","7031.039"
"575","7033.615"
"576","7019.285"
"577","6994.498"
"578","6966.397"
"579","6941.965"
"580","6924.283"
"581","6911.986"
"582","6903.471"
"583","6897.213"
"584","6892.902"
"585","6891.251"
"586","6893.002"
"587","6898.868"
"588","6909.262"
"589","6924.416"
"590","6944.558"
"591","6969.263"
"592","6993.483"
"593","7010.205"
"594","7012.437"
"595","6995.464"
"596","6965.135"
"597","6930.369"
"598","6900.047"
"599","6880.82"
"600","6872.48"
"601","6873.506"
"602","6882.371"
"603","6896.592"
"604","6911.711"
"605","6923.035"
"606","6925.947"
"607","6918.329"
"608","6901.51"
"609","6877.066"
"610","6846.771"
"611","6816.468"
"612","6795.773"
"613","6794.409"
"614","6820.553"
"615","6865.959"
"616","6912.349"
"617","6941.366"
"618","6938.332"
"619","6911.504"
"620","6878.06"
"621","6855.132"
"622","6854.725"
"623","6869.45"
"624","6887.341"
"625","6896.486"
"626","6889.187"
"627","6867.378"
"628","6834.333"
"629","6793.367"
"630","6749.943"
"631","6712.592"
"632","6690.052"
"633","6690.599"
"634","6714.539"
"635","6755.162"
"636","6805.551"
"637","6858.618"
"638","6905.584"
"639","6936.786"
"640","6942.575"
"641","6917.174"
"642","6873.922"
"643","6832.059"
"644","6810.746"
"645","6820.104"
"646","6845.284"
"647","6867.194"
"648","6867.032"
"649","6840.667"
"650","6807.158"
"651","6787.567"
"652","6801.748"
"653","6846.816"
"654","6898.947"
"655","6933.606"
"656","6929.518"
"657","6894.019"
"658","6849.472"
"659","6818.308"
"660","6817.971"
"661","6843.395"
"662","6883.133"
"663","6925.781"
"664","6961.313"
"665","6982.948"
"666","6984.399"
"667","6959.637"
"668","6912.138"
"669","6857.671"
"670","6812.785"
"671","6793.02"
"672","6801.133"
"673","6830.802"
"674","6875.529"
"675","6928.17"
"676","6977.625"
"677","7011.326"
"678","7016.74"
"679","6988.201"
"680","6940.297"
"681","6891.308"
"682","6859.291"
"683","6852.175"
"684","6862.679"
"685","6882.276"
"686","6902.705"
"687","6919.472"
"688","6931.069"
"689","6936.062"
"690","6933.668"
"691","6927.259"
"692","6921.856"
"693","6922.47"
"694","6931.851"
"695","6945.975"
"696","6959.574"
"697","6967.46"
"698","6968.38"
"699","6966.79"
"700","6967.586"
"701","6975.211"
"702","6987.99"
"703","6999.804"
"704","7004.439"
"705","6997.267"
"706","6982.434"
"707","6967.124"
"708","6958.5"
"709","6960.149"
"710","6966.79"
"711","6971.795"
"712","6968.71"
"713","6955.897"
"714","6937.365"
"715","6917.44"
"716","6900.285"
"717","6888.58"
"718","6884.172"
"719","6888.899"
"720","6903.649"
"721","6925.599"
"722","6951.008"
"723","6976.15"
"724","6997.267"
"725","7010.553"
"726","7012.206"
"727","6998.884"
"728","6974.521"
"729","6948.833"
"730","6931.675"
"731","6931.144"
"732","6945.392"
"733","6969.078"
"734","6996.867"
"735","7024.904"
"736","7052.763"
"737","7080.493"
"738","7108.043"
"739","7132.714"
"740","7149.096"
"741","7151.667"
"742","7136.491"
"743","7111.272"
"744","7088.929"
"745","7082.373"
"746","7097.993"
"747","7123.537"
"748","7143.464"
"749","7142.724"
"750","7121.798"
"751","7099.778"
"752","7096.838"
"753","7129.803"
"754","7186.689"
"755","7240.734"
"756","7265.097"
"757","7244.199"
"758","7198.324"
"759","7154.871"
"760","7140.69"
"761","7163.201"
"762","7204.878"
"763","7246.588"
"764","7270.947"
"765","7276.431"
"766","7269.98"
"767","7258.602"
"768","7248.151"
"769","7240.773"
"770","7237.862"
"771","7240.812"
"772","7250.791"
"773","7268.698"
"774","7295.42"
"775","7330.989"
"776","7368.224"
"777","7396.279"
"778","7404.303"
"779","7388.025"
"780","7362.55"
"781","7346.524"
"782","7358.013"
"783","7398.904"
"784","7452.811"
"785","7502.384"
"786","7532.503"
"787","7544.017"
"788","7544.783"
"789","7542.67"
"790","7542.477"
"791","7541.468"
"792","7535.767"
"793","7521.841"
"794","7503.03"
"795","7489.079"
"796","7489.969"
"797","7512.78"
"798","7548.532"
"799","7582.703"
"800","7600.86"
"801","7597.458"
"802","7583.745"
"803","7572.819"
"804","7576.553"
"805","7590.606"
"806","7599.163"
"807","7586.176"
"808","7543.035"
"809","7490.247"
"810","7455.442"
"811","7465.687"
"812","7524.6"
"813","7604.15"
"814","7674.082"
"815","7707.739"
"816","7707.952"
"817","7692.042"
"818","7677.402"
"819","7674.893"
"820","7678.715"
"821","7680.441"
"822","7672.12"
"823","7654.729"
"824","7637.285"
"825","7629.077"
"826","7637.372"
"827","7659.464"
"828","7689.604"
"829","7722.049"
"830","7751.111"
"831","7771.202"
"832","7776.738"
"833","7763.486"
"834","7739.938"
"835","7721.591"
"836","7723.999"
"837","7754.108"
"838","7795.191"
"839","7826.489"
"840","7828.279"
"841","7801.387"
"842","7765.611"
"843","7741.444"
"844","7744.828"
"845","7769.769"
"846","7803.686"
"847","7834.137"
"848","7856.036"
"849","7875.236"
"850","7898.488"
"851","7931.297"
"852","7968.899"
"853","8001.412"
"854","8018.936"
"855","8016.303"
"856","7999.548"
"857","7976.332"
"858","7954.122"
"859","7937.584"
"860","7929.215"
"861","7931.457"
"862","7945.269"
"863","7966.056"
"864","7987.908"
"865","8005.045"
"866","8015.216"
"867","8020.237"
"868","8022.143"
"869","8023.348"
"870","8028.43"
"871","8042.755"
"872","8071.606"
"873","8114.408"
"874","8160.79"
"875","8199.452"
"876","8220.252"
"877","8223.463"
"878","8214.869"
"879","8200.303"
"880","8184.274"
"881","8168.142"
"882","8152.803"
"883","8139.262"
"884","8130.028"
"885","8128.718"
"886","8138.973"
"887","8162.004"
"888","8190.841"
"889","8216.794"
"890","8231.581"
"891","8236.152"
"892","8240.606"
"893","8255.442"
"894","8288.084"
"895","8331.726"
"896","8375.435"
"897","8408.445"
"898","8426.358"
"899","8433.026"
"900","8432.852"
"901","8430.119"
"902","8428.369"
"903","8430.854"
"904","8440.79"
"905","8458.848"
"906","8481.482"
"907","8504.756"
"908","8524.742"
"909","8537.651"
"910","8539.759"
"911","8527.368"
"912","8502.244"
"913","8477.415"
"914","8467.302"
"915","8484.5"
"916","8522.145"
"917","8561.583"
"918","8584.016"
"919","8579.099"
"920","8557.812"
"921","8534.464"
"922","8522.625"
"923","8525.784"
"924","8540.147"
"925","8561.76"
"926","8587.419"
"927","8616.193"
"928","8647.581"
"929","8680.883"
"930","8711.998"
"931","8733.978"
"932","8739.774"
"933","8725.232"
"934","8696.375"
"935","8661.472"
"936","8628.764"
"937","8605.817"
"938","8599.556"
"939","8616.877"
"940","8659.942"
"941","8711.866"
"942","8750.977"
"943","8756.337"
"944","8725.807"
"945","8677.015"
"946","8628.547"
"947","8596.238"
"948","8583.688"
"949","8591.095"
"950","8618.405"
"951","8658.271"
"952","8695.026"
"953","8712.556"
"954","8699.569"
"955","8667.998"
"956","8636.747"
"957","8624.283"
"958","8634.432"
"959","8653.398"
"960","8666.338"
"961","8661.935"
"962","8646.72"
"963","8632.863"
"964","8632.283"
"965","8647.71"
"966","8670.441"
"967","8691.06"
"968","8701.732"
"969","8702.88"
"970","8697.604"
"971","8689.009"
"972","8680.25"
"973","8674.549"
"974","8675.136"
"975","8684.128"
"976","8697.846"
"977","8710.729"
"978","8717.308"
"979","8715.57"
"980","8707.837"
"981","8696.691"
"982","8684.94"
"983","8676.45"
"984","8675.441"
"985","8685.981"
"986","8707.221"
"987","8732.324"
"988","8754.096"
"989","8766.563"
"990","8769.745"
"991","8765.484"
"992","8755.728"
"993","8745.364"
"994","8742.706"
"995","8756.252"
"996","8790.991"
"997","8835.813"
"998","8875.006"
"999","8893.334"
"1000","8888.454"
"1001","8872.009"
"1002","8856.35"
"1003","8851.634"
"1004","8858.833"
"1005","8876.506"
"1006","8903.206"
"1007","8935.905"
"1008","8967.594"
"1009","8990.642"
"1010","8998.067"
"1011","8989.578"
"1012","8968.832"
"1013","8939.558"
"1014","8906.609"
"1015","8877.091"
"1016","8858.369"
"1017","8856.58"
"1018","8868.593"
"1019","8887.049"
"1020","8904.656"
"1021","8919.306"
"1022","8936.62"
"1023","8962.862"
"1024","9002.117"
"1025","9046.832"
"1026","9085.558"
"1027","9107.194"
"1028","9110.324"
"1029","9104.185"
"1030","9098.57"
"1031","9100.775"
"1032","9108.844"
"1033","9118.675"
"1034","9126.267"
"1035","9129.012"
"1036","9125.401"
"1037","9113.968"
"1038","9097.38"
"1039","9088.506"
"1040","9101.772"
"1041","9148.822"
"1042","9216.002"
"1043","9276.202"
"1044","9302.422"
"1045","9285.038"
"1046","9242.655"
"1047","9196.475"
"1048","9164.786"
"1049","9149.961"
"1050","9148.965"
"1051","9158.842"
"1052","9178.924"
"1053","9210.92"
"1054","9256.656"
"1055","9314.202"
"1056","9369.474"
"1057","9405.912"
"1058","9408.766"
"1059","9384.73"
"1060","9354.504"
"1061","9338.951"
"1062","9349.507"
"1063","9379.653"
"1064","9420.86"
"1065","9464.904"
"1066","9505.489"
"1067","9537.053"
"1068","9554.214"
"1069","9556.725"
"1070","9550.055"
"1071","9539.972"
"1072","9530.829"
"1073","9522.33"
"1074","9513.226"
"1075","9502.739"
"1076","9495.527"
"1077","9499.68"
"1078","9523.229"
"1079","9565.182"
"1080","9608.736"
"1081","9635.481"
"1082","9630.771"
"1083","9600.039"
"1084","9555.378"
"1085","9508.851"
"1086","9471.711"
"1087","9454.444"
"1088","9467.49"
"1089","9512.476"
"1090","9568.282"
"1091","9610.164"
"1092","9616.778"
"1093","9594.039"
"1094","9560.922"
"1095","9536.221"
"1096","9528.414"
"1097","9532.823"
"1098","9543.913"
"1099","9556.557"
"1100","9567.104"
"1101","9572.215"
"1102","9569.159"
"1103","9561.957"
"1104","9558.839"
"1105","9567.959"
"1106","9588.023"
"1107","9602.569"
"1108","9593.75"
"1109","9551.286"
"1110","9498.515"
"1111","9468.112"
"1112","9489.979"
"1113","9554.268"
"1114","9621.592"
"1115","9652.042"
"1116","9627.541"
"1117","9570.708"
"1118","9508.618"
"1119","9464.79"
"1120","9444.551"
"1121","9447.468"
"1122","9472.708"
"1123","9513.013"
"1124","9555.895"
"1125","9588.745"
"1126","9605.275"
"1127","9611.772"
"1128","9616.011"
"1129","9623.406"
"1130","9626.877"
"1131","9615.213"
"1132","9578.325"
"1133","9524.799"
"1134","9478.522"
"1135","9463.739"
"1136","9490.366"
"1137","9540.39"
"1138","9592.563"
"1139","9629.507"
"1140","9653.349"
"1141","9672.309"
"1142","9693.798"
"1143","9713.113"
"1144","9716.326"
"1145","9689.456"
"1146","9634.5"
"1147","9581.5"
"1148","9563.356"
"1149","9601.935"
"1150","9671.245"
"1151","9732.335"
"1152","9749.846"
"1153","9731.123"
"1154","9711.29"
"1155","9725.396"
"1156","9779.115"
"1157","9835.338"
"1158","9853.559"
"1159","9810.215"
"1160","9739.577"
"1161","9688.243"
"1162","9696.942"
"1163","9755.727"
"1164","9828.803"
"1165","9880.911"
"1166","9898.625"
"1167","9892.933"
"1168","9876.106"
"1169","9857.762"
"1170","9840.931"
"1171","9827.647"
"1172","9819.9"
"1173","9819.35"
"1174","9827.55"
"1175","9845.636"
"1176","9868.275"
"1177","9885.009"
"1178","9885.353"
"1179","9868.744"
"1180","9851.161"
"1181","9850.164"
"1182","9876.171"
"1183","9913.195"
"1184","9939.143"
"1185","9935.088"
"1186","9909.668"
