,"Scan 01115"
"400","11612.18"
"401","11610.09"
"402","11598.01"
"403","11570.31"
"404","11533.41"
"405","11497.56"
"406","11472.93"
"407","11467.96"
"408","11477.48"
"409","11489.83"
"410","11493.39"
"411","11477.68"
"412","11446.27"
"413","11412.48"
"414","11389.71"
"415","11390.75"
"416","11416.07"
"417","11454.2"
"418","11493.22"
"419","11521.5"
"420","11534.47"
"421","11537.11"
"422","11535.04"
"423","11533.8"
"424","11536.8"
"425","11543.53"
"426","11553.04"
"427","11564.4"
"428","11575.19"
"429","11579.31"
"430","11570.09"
"431","11540.94"
"432","11490.15"
"433","11432.39"
"434","11385.73"
"435","11368.11"
"436","11391.76"
"437","11443.64"
"438","11503.66"
"439","11551.84"
"440","11571.34"
"441","11563.15"
"442","11534.79"
"443","11493.76"
"444","11447.77"
"445","11406.68"
"446","11381.3"
"447","11382.38"
"448","11418.45"
"449","11476.19"
"450","11529.7"
"451","11553.12"
"452","11523.12"
"453","11447.81"
"454","11357.28"
"455","11281.89"
"456","11250.15"
"457","11262.42"
"458","11295.71"
"459","11326.42"
"460","11331.98"
"461","11308.82"
"462","11271.84"
"463","11236.59"
"464","11218.07"
"465","11217.17"
"466","11219.13"
"467","11208.41"
"468","11170.01"
"469","11104.53"
"470","11032.26"
"471","10974.64"
"472","10952.66"
"473","10970.89"
"474","11010.87"
"475","11052.49"
"476","11075.99"
"477","11073.25"
"478","11054.13"
"479","11030.03"
"480","11012.15"
"481","11005.43"
"482","11004.33"
"483","11002.35"
"484","10993.07"
"485","10974.15"
"486","10950.5"
"487","10927.72"
"488","10911.37"
"489","10904.1"
"490","10903.12"
"491","10905.07"
"492","10906.6"
"493","10903.86"
"494","10891.93"
"495","10865.81"
"496","10820.6"
"497","10756.6"
"498","10684.35"
"499","10615.5"
"500","10561.6"
"501","10528.1"
"502","10508.64"
"503","10495.57"
"504","10481.27"
"505","10459.73"
"506","10427.98"
"507","10383.42"
"508","10323.5"
"509","10251.05"
"510","10178.84"
"511","10120.66"
"512","10090.11"
"513","10091.23"
"514","10111.25"
"515","10135.79"
"516","10150.61"
"517","10147.02"
"518","10125.49"
"519","10087.3"
"520","10033.85"
"521","9971.019"
"522","9911.617"
"523","9868.961"
"524","9856.016"
"525","9872.877"
"526","9901.799"
"527","9923.811"
"528","9920.45"
"529","9887.985"
"530","9841.003"
"531","9795.163"
"532","9765.655"
"533","9756.575"
"534","9759.819"
"535","9766.684"
"536","9768.798"
"537","9763.929"
"538","9755.745"
"539","9748.134"
"540","9744.71"
"541","9744.756"
"542","9743.975"
"543","9737.979"
"544","9722.665"
"545","9697.386"
"546","9663.907"
"547","9624.034"
"548","9580.001"
"549","9538.465"
"550","9508.656"
"551","9499.784"
"552","9518.896"
"553","9556.072"
"554","9593.365"
"555","9612.859"
"556","9600.21"
"557","9562.599"
"558","9515.375"
"559","9473.82"
"560","9450.277"
"561","9443.377"
"562","9447.686"
"563","9457.802"
"564","9469.188"
"565","9480.373"
"566","9490.578"
"567","9499.036"
"568","9505.182"
"569","9508.989"
"570","9510.542"
"571","9509.905"
"572","9506.426"
"573","9497.965"
"574","9482.212"
"575","9456.924"
"576","9423.256"
"577","9387.568"
"578","9356.642"
"579","9337.033"
"580","9329.459"
"581","9327.983"
"582","9326.327"
"583","9318.663"
"584","9306.487"
"585","9297.446"
"586","9299.344"
"587","9318.892"
"588","9351.281"
"589","9384.699"
"590","9407.291"
"591","9409.263"
"592","9395.099"
"593","9375.395"
"594","9360.727"
"595","9359.051"
"596","9366.185"
"597","9374.43"
"598","9376.114"
"599","9366.105"
"600","9347.097"
"601","9323.295"
"602","9298.869"
"603","9276.729"
"604","9257.19"
"605","9240.239"
"606","9225.867"
"607","9213.581"
"608","9202.238"
"609","9190.654"
"610","9177.809"
"611","9165.997"
"612","9160.578"
"613","9167.019"
"614","9189.957"
"615","9225.363"
"616","9263.908"
"617","9296.217"
"618","9314.391"
"619","9319.634"
"620","9316.695"
"621","9310.32"
"622","9303.38"
"623","9291.669"
"624","9269.314"
"625","9230.486"
"626","9175.035"
"627","9115.873"
"628","9067.701"
"629","9044.932"
"630","9050.61"
"631","9071.671"
"632","9093.873"
"633","9103.636"
"634","9098.918"
"635","9087.8"
"636","9078.699"
"637","9079.154"
"638","9088.984"
"639","9103.896"
"640","9119.555"
"641","9131.762"
"642","9136.869"
"643","9131.403"
"644","9111.915"
"645","9078.926"
"646","9043.959"
"647","9020.391"
"648","9021.394"
"649","9049.32"
"650","9089.42"
"651","9125.485"
"652","9142.007"
"653","9136.754"
"654","9119.719"
"655","9101.313"
"656","9090.729"
"657","9086.451"
"658","9081.336"
"659","9068.212"
"660","9043.473"
"661","9019.684"
"662","9013.975"
"663","9043.386"
"664","9112.177"
"665","9194.254"
"666","9259.171"
"667","9277.208"
"668","9243.399"
"669","9184.798"
"670","9130.519"
"671","9107.647"
"672","9117.436"
"673","9142.77"
"674","9166.2"
"675","9172.843"
"676","9163.148"
"677","9143.3"
"678","9119.466"
"679","9097.117"
"680","9079.698"
"681","9070.263"
"682","9071.786"
"683","9082.811"
"684","9095.22"
"685","9100.353"
"686","9090.289"
"687","9068.109"
"688","9045.573"
"689","9034.646"
"690","9045.079"
"691","9072.414"
"692","9106.541"
"693","9137.376"
"694","9157.609"
"695","9168.263"
"696","9171.906"
"697","9171.063"
"698","9166.498"
"699","9156.396"
"700","9138.75"
"701","9112.075"
"702","9082.026"
"703","9059.452"
"704","9055.298"
"705","9077.252"
"706","9114.922"
"707","9151.655"
"708","9170.855"
"709","9163.807"
"710","9141.358"
"711","9117.315"
"712","9105.221"
"713","9111.105"
"714","9132.188"
"715","9165.182"
"716","9206.205"
"717","9245.478"
"718","9269.923"
"719","9266.455"
"720","9228.691"
"721","9176.61"
"722","9136.66"
"723","9135"
"724","9178.332"
"725","9239.849"
"726","9289.47"
"727","9298.962"
"728","9268.426"
"729","9220.499"
"730","9178.409"
"731","9161.686"
"732","9169.032"
"733","9191.822"
"734","9221.44"
"735","9250.6"
"736","9275.079"
"737","9291.091"
"738","9294.987"
"739","9286.157"
"740","9267.092"
"741","9240.43"
"742","9209.417"
"743","9181.819"
"744","9167.441"
"745","9176.062"
"746","9211.349"
"747","9259.467"
"748","9303.503"
"749","9326.895"
"750","9323.947"
"751","9301.986"
"752","9269.104"
"753","9233.444"
"754","9203.674"
"755","9188.729"
"756","9197.541"
"757","9233.631"
"758","9283.299"
"759","9329.441"
"760","9355.341"
"761","9358.082"
"762","9352.465"
"763","9354.452"
"764","9377.645"
"765","9414.438"
"766","9445.902"
"767","9453.026"
"768","9424.568"
"769","9374.26"
"770","9320.834"
"771","9282.776"
"772","9270.143"
"773","9282.395"
"774","9318.333"
"775","9375.889"
"776","9445.66"
"777","9514.521"
"778","9569.34"
"779","9601.419"
"780","9615.103"
"781","9617.12"
"782","9614.139"
"783","9611.022"
"784","9610.613"
"785","9615.641"
"786","9627.963"
"787","9643.158"
"788","9654.067"
"789","9653.528"
"790","9638.167"
"791","9613.915"
"792","9588.102"
"793","9567.937"
"794","9558.27"
"795","9561.746"
"796","9580.934"
"797","9616.528"
"798","9658.915"
"799","9694.921"
"800","9711.455"
"801","9704.332"
"802","9686.161"
"803","9671.413"
"804","9673.313"
"805","9688.694"
"806","9702.788"
"807","9700.597"
"808","9673.235"
"809","9635.832"
"810","9609.383"
"811","9614.481"
"812","9655.294"
"813","9713.788"
"814","9770.382"
"815","9807.197"
"816","9820.354"
"817","9812.851"
"818","9787.73"
"819","9750.606"
"820","9713.612"
"821","9689.913"
"822","9691.945"
"823","9718.433"
"824","9755.753"
"825","9789.856"
"826","9809.268"
"827","9815.092"
"828","9812.295"
"829","9805.811"
"830","9798.936"
"831","9792.387"
"832","9786.652"
"833","9782.459"
"834","9782.814"
"835","9791.981"
"836","9814.222"
"837","9849.649"
"838","9886.932"
"839","9912.794"
"840","9914.687"
"841","9894.385"
"842","9866.887"
"843","9847.687"
"844","9848.481"
"845","9862.714"
"846","9878.344"
"847","9883.505"
"848","9875.676"
"849","9866.234"
"850","9867.685"
"851","9890.743"
"852","9931.235"
"853","9977.575"
"854","10018.13"
"855","10044.37"
"856","10055.1"
"857","10050.2"
"858","10029.75"
"859","9997.196"
"860","9958.585"
"861","9920.02"
"862","9888.751"
"863","9876.333"
"864","9895.324"
"865","9957.532"
"866","10052.3"
"867","10143.1"
"868","10191.99"
"869","10170.25"
"870","10103"
"871","10034.91"
"872","10010.28"
"873","10047.05"
"874","10119.08"
"875","10196.05"
"876","10250.13"
"877","10275.96"
"878","10280.08"
"879","10269.14"
"880","10249.69"
"881","10228.15"
"882","10210.88"
"883","10203.85"
"884","10207.27"
"885","10217.04"
"886","10229.02"
"887","10239.67"
"888","10247.63"
"889","10251.98"
"890","10252.02"
"891","10251.93"
"892","10260.7"
"893","10287.53"
