Frequency,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density,Density
ramanShift,DM201,DM202,DM203,DM204,DM205,DM206,DM207,DM208,DM209,DM210,DM211,Ctrl01,Ctrl02,Ctrl03,Ctrl04,Ctrl05,Ctrl06,Ctrl07,Ctrl08,Ctrl09
50,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
51,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
52,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
53,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
54,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
55,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
56,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
57,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
58,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
59,181.8,246.2,164.6,293.8,265.5,132.4,299.6666667,136.1666667,213.6,158.8,194.4,207.2,239.2,405.1666667,76.6,258.8,96,266.2,568.1428571,230
