,"Scan 00945"
"400","16516.81"
"401","16477.67"
"402","16423.97"
"403","16366.73"
"404","16316.85"
"405","16284.16"
"406","16269.33"
"407","16268.47"
"408","16277.68"
"409","16293.14"
"410","16311.95"
"411","16331.84"
"412","16350.58"
"413","16366.05"
"414","16377.91"
"415","16387.53"
"416","16396.31"
"417","16405.65"
"418","16416.07"
"419","16427.07"
"420","16438.11"
"421","16448.62"
"422","16457.34"
"423","16461.94"
"424","16459.97"
"425","16449.03"
"426","16428.79"
"427","16403.21"
"428","16376.77"
"429","16353.91"
"430","16338.07"
"431","16329.89"
"432","16329.61"
"433","16337.41"
"434","16351.76"
"435","16365"
"436","16368.23"
"437","16352.57"
"438","16312.62"
"439","16257.77"
"440","16201.42"
"441","16156.87"
"442","16135.14"
"443","16135.15"
"444","16151.75"
"445","16179.81"
"446","16213.75"
"447","16244.7"
"448","16262.46"
"449","16256.92"
"450","16220.17"
"451","16162.35"
"452","16102.45"
"453","16059.34"
"454","16049.4"
"455","16064.8"
"456","16083.85"
"457","16084.81"
"458","16048.23"
"459","15980.5"
"460","15905.03"
"461","15845.42"
"462","15823.3"
"463","15834.42"
"464","15855.18"
"465","15861.67"
"466","15831.66"
"467","15769.41"
"468","15701.2"
"469","15653.81"
"470","15652.5"
"471","15694.79"
"472","15752.87"
"473","15798.16"
"474","15803.44"
"475","15768.15"
"476","15718.22"
"477","15680.55"
"478","15680.85"
"479","15718.7"
"480","15765.97"
"481","15793.35"
"482","15772.67"
"483","15702.84"
"484","15613.03"
"485","15533.86"
"486","15494.94"
"487","15500.37"
"488","15524.68"
"489","15540.9"
"490","15522.87"
"491","15467.2"
"492","15397.56"
"493","15339.08"
"494","15316.06"
"495","15328.94"
"496","15349.53"
"497","15348.03"
"498","15295.59"
"499","15188.93"
"500","15055.53"
"501","14924.58"
"502","14824.44"
"503","14763.12"
"504","14724.48"
"505","14691.06"
"506","14645.89"
"507","14583.99"
"508","14514.16"
"509","14445.94"
"510","14388.57"
"511","14344.31"
"512","14307.73"
"513","14273.04"
"514","14234.67"
"515","14192.46"
"516","14151.86"
"517","14118.58"
"518","14097.99"
"519","14089.01"
"520","14084.26"
"521","14076.13"
"522","14057.38"
"523","14027.14"
"524","13990.25"
"525","13951.76"
"526","13916.44"
"527","13885.22"
"528","13855.9"
"529","13826.17"
"530","13793.92"
"531","13759.33"
"532","13724.28"
"533","13690.69"
"534","13660.56"
"535","13637.13"
"536","13624.38"
"537","13626.34"
"538","13645.72"
"539","13672.79"
"540","13690.82"
"541","13683.06"
"542","13636.12"
"543","13563.22"
"544","13490.45"
"545","13443.84"
"546","13444.49"
"547","13481.3"
"548","13530.02"
"549","13566.52"
"550","13571.05"
"551","13547.42"
"552","13507.35"
"553","13462.5"
"554","13423.29"
"555","13394.79"
"556","13380.62"
"557","13384.34"
"558","13406.54"
"559","13437.3"
"560","13464.46"
"561","13475.94"
"562","13464.98"
"563","13439.45"
"564","13409.69"
"565","13385.95"
"566","13374.17"
"567","13371.13"
"568","13372.44"
"569","13373.74"
"570","13371.78"
"571","13365.23"
"572","13352.94"
"573","13333.8"
"574","13308.49"
"575","13280.02"
"576","13251.51"
"577","13226.03"
"578","13205.06"
"579","13188.59"
"580","13176.48"
"581","13168.71"
"582","13166.25"
"583","13170.86"
"584","13184.33"
"585","13207.79"
"586","13236.29"
"587","13261.46"
"588","13274.91"
"589","13269.97"
"590","13251.42"
"591","13228.74"
"592","13211.35"
"593","13206.52"
"594","13211.47"
"595","13220.5"
"596","13227.97"
"597","13229.96"
"598","13228.13"
"599","13225.26"
"600","13224.1"
"601","13224.62"
"602","13220.69"
"603","13205.36"
"604","13171.86"
"605","13120.75"
"606","13063.9"
"607","13014.08"
"608","12983.75"
"609","12978.38"
"610","12995.94"
"611","13034.06"
"612","13089.8"
"613","13151.95"
"614","13203.29"
"615","13226.5"
"616","13207.21"
"617","13155"
"618","13091.23"
"619","13037.26"
"620","13009.94"
"621","13003.5"
"622","13004.91"
"623","13001.23"
"624","12984.12"
"625","12959.97"
"626","12938.08"
"627","12927.68"
"628","12931.75"
"629","12940.67"
"630","12943.37"
"631","12929.09"
"632","12897.88"
"633","12863.75"
"634","12841.61"
"635","12845.36"
"636","12873.25"
"637","12910.59"
"638","12942.37"
"639","12955.32"
"640","12950.99"
"641","12938.62"
"642","12927.44"
"643","12924.5"
"644","12925.91"
"645","12924.45"
"646","12912.89"
"647","12888.74"
"648","12862.96"
"649","12848.9"
"650","12859.7"
"651","12896.14"
"652","12938.16"
"653","12963.73"
"654","12951.87"
"655","12904.78"
"656","12848.13"
"657","12808.56"
"658","12809.93"
"659","12847.23"
"660","12898.07"
"661","12939.9"
"662","12953.65"
"663","12939.23"
"664","12903.03"
"665","12851.45"
"666","12793.08"
"667","12743.1"
"668","12717.87"
"669","12733.48"
"670","12790.75"
"671","12865.33"
"672","12930.66"
"673","12961.25"
"674","12953.14"
"675","12922.34"
"676","12885.61"
"677","12858.42"
"678","12845.55"
"679","12846.19"
"680","12859.48"
"681","12883.63"
"682","12912.7"
"683","12939.62"
"684","12957.38"
"685","12962.09"
"686","12956.97"
"687","12946.14"
"688","12933.7"
"689","12922.69"
"690","12914.89"
"691","12911.99"
"692","12915.51"
"693","12924.83"
"694","12937.99"
"695","12953.01"
"696","12967.78"
"697","12979.67"
"698","12985.81"
"699","12983.38"
"700","12971.81"
"701","12956.21"
"702","12942.59"
"703","12936.82"
"704","12940.19"
"705","12948.09"
"706","12955.57"
"707","12957.95"
"708","12953.69"
"709","12943.37"
"710","12927.58"
"711","12907.63"
"712","12888.61"
"713","12876.77"
"714","12878.34"
"715","12895.25"
"716","12919.26"
"717","12940.68"
"718","12950.15"
"719","12947.06"
"720","12940.93"
"721","12941.8"
"722","12958.36"
"723","12986.07"
"724","13012.96"
"725","13026.99"
"726","13020.15"
"727","13000.78"
"728","12981.44"
"729","12974.57"
"730","12986.01"
"731","13009.48"
"732","13037.38"
"733","13062.33"
"734","13080.01"
"735","13088.76"
"736","13087.04"
"737","13074.45"
"738","13058.23"
"739","13048.65"
"740","13055.94"
"741","13083.99"
"742","13119.52"
"743","13146.36"
"744","13148.84"
"745","13126.46"
"746","13097.03"
"747","13079.45"
"748","13090.38"
"749","13125.91"
"750","13170.81"
"751","13209.75"
"752","13231.04"
"753","13236.33"
"754","13230.25"
"755","13217.49"
"756","13203.65"
"757","13195.81"
"758","13201.18"
"759","13226.1"
"760","13266.41"
"761","13310.85"
"762","13348.05"
"763","13368.81"
"764","13373.64"
"765","13365.76"
"766","13348.39"
"767","13326.01"
"768","13305.32"
"769","13293.25"
"770","13296.22"
"771","13313.53"
"772","13339.07"
"773","13366.58"
"774","13391.1"
"775","13413.82"
"776","13437.84"
"777","13466.22"
"778","13499.99"
"779","13536.41"
"780","13572.3"
"781","13604.68"
"782","13633.18"
"783","13659.43"
"784","13685.14"
"785","13711.37"
"786","13736.11"
"787","13756.44"
"788","13769.44"
"789","13774.05"
"790","13772.47"
"791","13767.27"
"792","13760.91"
"793","13754.81"
"794","13749.64"
"795","13746.05"
"796","13744.7"
"797","13746.31"
"798","13751.64"
"799","13761.4"
"800","13774.58"
"801","13787.51"
"802","13796.25"
"803","13797.47"
"804","13794.15"
"805","13793.12"
"806","13801.26"
"807","13823.05"
"808","13854.67"
"809","13890.49"
"810","13924.92"
"811","13952.87"
"812","13969.87"
"813","13971.51"
"814","13954.75"
"815","13927.09"
"816","13901.04"
"817","13889.13"
"818","13897.96"
"819","13919.29"
"820","13942.5"
"821","13957.36"
"822","13960.41"
"823","13954.46"
"824","13942.55"
"825","13928.01"
"826","13915.71"
"827","13911"
"828","13919.21"
"829","13941.17"
"830","13970.04"
"831","13998.24"
"832","14018.8"
"833","14031.52"
"834","14040.45"
"835","14049.67"
"836","14061.88"
"837","14075.29"
"838","14087.23"
"839","14095.09"
"840","14098.75"
"841","14100.79"
"842","14103.89"
"843","14110.07"
"844","14117.25"
"845","14121.83"
"846","14120.22"
"847","14113.01"
"848","14108.47"
"849","14115.71"
"850","14142.65"
"851","14183.25"
"852","14222.6"
"853","14245.68"
"854","14243.68"
"855","14227.58"
"856","14212.2"
"857","14211.89"
"858","14229.44"
"859","14255.83"
"860","14281.49"
"861","14298.92"
"862","14311.46"
"863","14326.03"
"864","14349.45"
"865","14381.77"
"866","14412.29"
"867","14429.4"
"868","14423.51"
"869","14402.86"
"870","14384.92"
"871","14387.21"
"872","14417.91"
"873","14462.73"
"874","14504.14"
"875","14525.66"
"876","14527.29"
"877","14521.57"
"878","14521.32"
"879","14536.22"
"880","14564.42"
"881","14601.54"
"882","14643.15"
"883","14684.99"
"884","14722.89"
"885","14752.67"
"886","14770.9"
"887","14777.88"
"888","14775.12"
"889","14764.22"
"890","14750.93"
"891","14747.11"
"892","14765.11"
"893","14814.14"
"894","14880.29"
"895","14939.26"
"896","14966.84"
"897","14954.91"
"898","14926.61"
"899","14908.69"
"900","14925.06"
"901","14970.4"
"902","15022.23"
"903","15057.89"
"904","15064.19"
"905","15051.79"
"906","15035.03"
"907","15027.5"
"908","15032.03"
"909","15043.58"
"910","15056.92"
"911","15068.07"
"912","15077.01"
"913","15084.49"
"914","15091.32"
"915","15098.95"
"916","15109.44"
"917","15124.88"
"918","15144.86"
"919","15159.61"
"920","15157.06"
"921","15125.88"
"922","15072.88"
"923","15023.67"
"924","15004.72"
"925","15034.77"
"926","15097.67"
"927","15167.42"
"928","15218.56"
"929","15241.37"
"930","15244.59"
"931","15238.05"
"932","15230.03"
"933","15221.09"
"934","15209.33"
"935","15192.99"
"936","15174.43"
"937","15161.36"
"938","15161.81"
"939","15181.07"
"940","15209.17"
"941","15230.89"
"942","15231.31"
"943","15208"
"944","15175.54"
"945","15149.73"
"946","15143.29"
"947","15151.29"
"948","15162.39"
"949","15165.46"
"950","15156.73"
"951","15142.77"
"952","15130.91"
"953","15127.43"
"954","15132.35"
"955","15143.45"
"956","15158.51"
"957","15175.55"
"958","15192.93"
"959","15209.04"
"960","15221.78"
"961","15226.26"
"962","15216.62"
"963","15187.25"
"964","15144.06"
"965","15108.19"
"966","15101.83"
"967","15140.52"
"968","15203.97"
"969","15259.97"
"970","15277.04"
"971","15249.54"
"972","15203.92"
"973","15168.6"
"974","15165.3"
"975","15183.07"
"976","15201.09"
"977","15199.12"
"978","15174.55"
"979","15144.5"
"980","15127.15"
"981","15135.84"
"982","15163.38"
"983","15197.12"
"984","15224.67"
"985","15239.16"
"986","15239.19"
"987","15223.59"
"988","15194.73"
"989","15167.76"
"990","15160.69"
"991","15190.16"
"992","15249.3"
"993","15311.43"
"994","15349.28"
"995","15347.17"
"996","15323.63"
"997","15303.5"
"998","15309.69"
"999","15340.29"
"1000","15376.15"
"1001","15397.82"
"1002","15394.58"
"1003","15376.37"
"1004","15356.11"
"1005","15346.72"
"1006","15358.85"
"1007","15387.8"
"1008","15422.52"
"1009","15452.03"
"1010","15469.17"
"1011","15472.33"
"1012","15460.3"
"1013","15434.39"
"1014","15409.48"
"1015","15405.05"
"1016","15439.8"
"1017","15507.25"
"1018","15571.34"
"1019","15594.3"
"1020","15551.97"
"1021","15477.78"
"1022","15420.33"
"1023","15425.97"
"1024","15494.68"
"1025","15583.48"
"1026","15647.75"
"1027","15658.1"
"1028","15633.22"
"1029","15601.22"
"1030","15588.76"
"1031","15602.86"
"1032","15636.78"
"1033","15683.5"
"1034","15734.02"
"1035","15774.95"
"1036","15792.26"
"1037","15775.1"
"1038","15739.51"
"1039","15715.2"
"1040","15731.67"
"1041","15795.25"
"1042","15875.33"
"1043","15937.94"
"1044","15956.33"
"1045","15944.02"
"1046","15928.38"
"1047","15936.02"
"1048","15970.99"
"1049","16012.63"
"1050","16039"
"1051","16036.08"
"1052","16017.91"
"1053","16004.67"
"1054","16014.86"
"1055","16042.91"
"1056","16065.88"
"1057","16060.47"
"1058","16019.58"
"1059","15971.54"
"1060","15949.35"
"1061","15980.12"
"1062","16046.31"
"1063","16110.1"
"1064","16134.28"
"1065","16112.79"
"1066","16081.5"
"1067","16079.28"
"1068","16133.09"
"1069","16219.78"
"1070","16302.96"
"1071","16348.05"
"1072","16350.36"
"1073","16329.36"
"1074","16305.19"
"1075","16289.63"
"1076","16274.96"
"1077","16250.67"
"1078","16209.14"
"1079","16164.8"
"1080","16142.24"
"1081","16165.45"
"1082","16233.76"
"1083","16314.39"
"1084","16372.4"
"1085","16383.16"
"1086","16361.39"
"1087","16331.3"
"1088","16315.57"
"1089","16316.69"
"1090","16322.83"
"1091","16321.9"
"1092","16308.37"
"1093","16289.28"
"1094","16273.13"
"1095","16266.76"
"1096","16267.35"
"1097","16268.61"
"1098","16264.37"
"1099","16250.82"
"1100","16226.49"
"1101","16190.04"
"1102","16145.67"
"1103","16112.33"
"1104","16111.42"
"1105","16159.09"
"1106","16229.17"
"1107","16274.99"
"1108","16250.95"
"1109","16156.61"
"1110","16048.24"
"1111","15985.79"
"1112","16008.42"
"1113","16084.64"
"1114","16167.99"
"1115","16215.65"
"1116","16222.48"
"1117","16205.54"
"1118","16182.06"
"1119","16163.57"
"1120","16153.16"
"1121","16153.25"
"1122","16164.32"
"1123","16179.15"
"1124","16188.64"
"1125","16184.66"
"1126","16170.88"
"1127","16158.6"
"1128","16159.17"
"1129","16174.45"
"1130","16191.25"
"1131","16195"
"1132","16176.08"
"1133","16145.3"
"1134","16118.81"
"1135","16111.61"
"1136","16124.81"
"1137","16150.24"
"1138","16179.6"
"1139","16207.81"
"1140","16234.78"
"1141","16260.89"
"1142","16285.36"
"1143","16302.88"
"1144","16307.01"
"1145","16292.49"
"1146","16266.93"
